,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
206,4,0,8,1,4,1,4,9,7,1,-1,2,2,-1,0,0,-1,-5
207,3,2,8,2,5,0,5,7,6,1,-1,3,2,1,-1,-3,-1,0
208,2,2,5,1,7,1,5,9,3,2,0,4,4,2,0,-3,1,4
209,-2,5,5,3,6,1,5,7,2,3,0,5,4,3,1,-7,0,3
210,-2,5,4,2,7,-1,7,7,0,4,0,5,4,3,-1,-12,-1,3
211,-2,3,3,2,6,0,8,7,0,6,1,6,2,3,-2,-12,1,6
212,-2,6,4,7,6,0,6,9,-3,6,2,6,3,4,1,-15,3,8
213,-4,6,6,7,5,1,7,6,-5,5,2,7,4,5,0,-16,6,7
214,-7,4,7,5,5,4,9,2,-6,6,3,6,5,5,1,-16,4,8
215,-6,5,6,7,4,3,9,1,-6,6,6,5,7,7,0,-18,5,8
216,-8,6,4,6,2,4,7,0,-7,4,4,5,7,6,-1,-17,3,8
217,-6,4,3,6,2,6,7,-1,-9,5,5,2,9,4,0,-15,5,8
218,-6,6,4,4,4,5,9,-3,-6,3,5,1,7,4,-1,-12,3,8
219,-4,6,3,5,2,6,7,-5,-7,3,4,2,8,3,2,-9,3,7
220,-5,4,2,3,4,5,3,-5,-7,4,4,3,5,3,3,-8,4,3
221,-4,6,1,2,0,5,5,-6,-7,3,5,2,5,3,3,-7,5,6
222,-3,6,2,3,2,6,3,-7,-6,0,3,1,4,4,3,-2,4,6
223,-3,6,-1,2,2,7,2,-8,-5,1,2,-1,3,3,3,-1,2,3
224,0,1,-2,1,1,5,0,-7,-6,2,3,-3,5,2,4,2,6,2
225,1,1,1,-1,-2,2,-1,-8,-3,2,3,-2,1,2,5,5,3,1
226,3,2,-1,0,-3,4,-1,-6,-1,1,2,-3,-2,0,3,11,3,-1
227,3,-2,0,-2,1,5,-2,-4,1,-2,1,-1,-2,1,4,13,3,-1
228,5,-3,-4,-1,-2,3,-5,-7,3,0,-2,-4,-1,0,4,14,4,-1
229,8,-2,-4,-5,-4,2,-4,-6,4,1,0,-4,-1,-1,3,14,1,-1
230,11,-4,-4,-3,-4,2,-4,-3,6,-3,0,-2,-2,0,2,14,-1,-5
231,11,-3,-3,-3,-5,-1,-6,-4,9,-3,-3,-3,-1,-1,4,14,-1,-2
232,10,-2,-5,-2,-4,-2,-5,-5,9,-2,-1,-2,-2,-3,3,11,-2,-2
233,11,-2,-2,-2,-4,-2,-5,-3,8,-2,-1,-2,-4,-3,1,10,-4,-4
234,10,-2,-3,-2,-4,0,-4,0,8,-2,0,-1,-5,-3,2,10,-1,-1
235,9,-1,-3,-3,-2,-1,-2,-4,10,-1,-2,-1,-3,-3,1,4,-1,-3
236,7,-2,-2,-5,-4,-2,0,-1,8,-2,-1,-1,-1,-5,0,2,-4,-4
237,6,-3,-1,-2,-2,-2,0,-1,9,-2,-4,0,-1,-5,0,0,-5,-5
238,3,-2,0,-5,-1,-1,-1,-1,8,-1,-4,0,-1,-4,-1,-1,-5,-2
239,2,-4,0,-3,-1,-1,-1,1,6,-2,-3,1,1,-5,-1,-6,-4,-3
240,0,-3,2,-2,-1,-2,1,3,4,-4,-2,2,-1,-4,-4,-8,-5,0
241,1,-3,1,-3,0,-2,0,1,2,0,-4,0,-1,-3,-4,-10,-2,-2
242,-1,-5,0,0,1,1,0,3,1,1,-2,-1,1,-4,-3,-11,-2,-2
243,-2,-3,2,0,3,1,3,5,-1,0,-3,0,1,-4,-6,-13,-4,-2
244,-3,-2,3,1,2,-1,2,6,-2,-1,-2,1,0,-1,-6,-12,-2,0
245,-2,0,1,0,1,1,-1,5,-3,-1,-3,0,-1,-1,-4,-9,-1,0
246,-5,1,1,1,4,0,1,7,-4,-2,-2,-1,-1,1,-4,-10,-3,0
247,-7,4,1,1,4,-2,-1,7,-5,-1,1,1,0,1,-4,-8,-1,3
248,-4,4,1,2,2,0,-3,8,-5,-1,-3,1,3,0,-4,-4,1,0
249,-5,1,1,2,0,0,-3,7,-5,1,0,2,-1,-1,-1,0,-2,0
250,-7,0,0,3,1,-1,0,9,-5,2,-1,-1,1,1,-2,2,0,3
251,-4,0,0,3,1,0,0,6,-7,2,2,0,1,0,-1,5,1,2
252,-3,-1,-1,4,-3,1,-2,7,-6,0,2,-1,2,1,-2,8,0,0
253,-2,1,-2,2,-1,-1,0,5,-6,-1,4,1,1,3,0,10,0,1
254,-4,1,-3,2,-2,-3,1,3,-5,-3,3,0,3,1,2,16,-1,1
255,-2,0,-2,2,-1,1,-2,3,-4,-1,0,-1,2,0,2,18,2,1
256,2,0,0,2,-1,0,-2,2,0,0,1,-1,2,4,1,15,1,1
257,3,3,-1,0,-1,-1,1,-1,-2,1,2,2,-1,3,1,18,0,0
258,2,2,-2,0,0,0,-1,-2,-2,0,1,1,2,2,1,19,0,0
259,3,4,-1,1,1,1,-1,-3,1,3,0,0,2,3,3,17,2,2
260,2,1,2,2,-2,3,-1,-3,2,4,2,1,0,3,3,14,2,-2
261,-1,2,0,1,2,2,-1,-6,3,2,2,1,3,2,4,11,2,1
262,0,2,1,2,3,1,-1,-6,1,0,3,1,1,2,3,6,2,1
263,0,1,2,1,2,3,-1,-5,3,0,1,2,2,0,3,3,5,0
264,-2,0,1,1,0,2,0,-8,1,1,2,0,1,0,2,0,3,2
265,2,1,3,2,0,1,1,-5,0,1,1,-1,-1,1,2,-3,5,0
266,0,0,4,0,0,3,0,-4,0,3,1,0,1,1,2,-6,3,-1
267,-1,0,4,0,1,1,0,-5,3,4,-1,1,1,2,2,-8,4,-1
268,0,-2,5,0,-1,-2,1,-4,2,3,0,-1,2,-1,1,-11,5,-1
269,-2,-4,4,1,-1,-1,1,-3,1,1,0,-2,2,0,0,-12,2,-1
