,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
127,-5,-3,-1,-5,1,-1,1,-11,1,1,-3,-4,-4,-10,0,-2,-4,-1,-3,2
128,-5,-6,-2,-4,-1,-2,-1,-12,-4,-3,-4,-5,-4,-10,-4,-4,-6,-4,-3,0
129,-5,-6,-3,-3,-1,-3,-2,-14,-3,-4,-3,-5,-2,-6,-4,-5,-4,-3,-6,-3
130,-6,-6,-4,-5,-2,-3,-6,-14,-3,-6,-4,-7,-4,-8,-3,-5,-7,-2,-4,-4
131,-5,-6,-6,-6,-4,-5,-5,-13,-3,-8,-6,-8,-4,-10,-7,-4,-8,-2,-5,-6
132,-3,-4,-6,-3,-5,-4,-10,-16,-6,-10,-6,-8,-3,-5,-7,-5,-8,-3,-5,-6
133,-6,-3,-8,-5,-5,-4,-11,-17,-7,-10,-6,-7,-3,-4,-7,-4,-4,-4,-2,-4
134,-8,-3,-8,-3,-8,-7,-10,-16,-3,-12,-5,-5,-6,-3,-8,-3,-6,-3,-3,-5
135,-6,-4,-7,-1,-9,-4,-14,-11,-4,-12,-5,-5,-5,-4,-6,-3,-4,-3,-4,-5
136,-9,-4,-10,-2,-10,-4,-15,-13,-4,-15,-1,-7,-5,0,-6,-5,-4,-3,-6,-6
137,-9,-3,-10,-4,-9,-2,-15,-14,-5,-15,0,-6,-7,1,-5,-6,-1,-1,-6,-5
138,-11,-2,-13,-5,-10,-2,-17,-14,-4,-16,-4,-7,-7,1,-6,-6,-3,-3,-5,-4
139,-9,-6,-16,-5,-12,-4,-16,-13,-4,-16,-1,-7,-8,2,-7,-10,-5,-4,-6,-5
140,-8,-6,-15,-6,-14,-6,-18,-15,-8,-16,-2,-8,-8,1,-8,-8,-5,-6,-6,-6
141,-8,-8,-15,-9,-17,-8,-14,-12,-7,-16,-2,-7,-8,0,-4,-12,-5,-6,-8,-5
142,-9,-8,-16,-9,-18,-8,-16,-11,-9,-14,-5,-7,-9,-1,-4,-10,-3,-7,-9,-7
143,-8,-6,-17,-7,-18,-6,-15,-10,-8,-15,-5,-7,-9,-2,-10,-9,-3,-7,-8,-9
144,-10,-6,-13,-8,-17,-7,-15,-9,-9,-13,-6,-8,-8,-1,-9,-8,-8,-8,-7,-5
145,-12,-8,-13,-7,-18,-7,-13,-7,-8,-10,-5,-9,-6,-1,-8,-10,-7,-9,-8,-6
146,-11,-7,-13,-9,-16,-9,-9,-6,-6,-8,-6,-10,-6,-2,-9,-10,-7,-10,-7,-9
147,-10,-6,-11,-8,-13,-8,-9,-4,-7,-7,-6,-10,-6,-3,-10,-8,-7,-7,-9,-8
148,-10,-5,-7,-9,-12,-8,-8,-3,-7,-7,-7,-10,-7,-4,-10,-7,-9,-8,-8,-8
149,-6,-5,-8,-7,-12,-9,-7,-1,-6,-4,-8,-6,-4,-3,-9,-5,-8,-6,-5,-8
150,-5,-5,-6,-3,-11,-8,-4,-1,-7,-4,-7,-6,-6,-2,-8,-4,-7,-7,-4,-9
151,-4,-6,-4,-4,-8,-9,-5,2,-7,-4,-5,-6,-5,0,-6,-5,-9,-8,-2,-8
152,-4,-5,0,-3,-8,-5,-3,6,-4,0,-7,-3,-4,1,-5,-2,-6,-7,-4,-6
153,-2,-5,3,-2,-7,-5,-1,8,-9,-1,-7,-2,-2,3,-7,-1,-6,-5,-1,-7
154,0,-1,4,-2,-4,-5,2,10,-7,3,-5,-1,-2,3,-3,0,-5,-3,0,-5
155,1,0,4,2,-1,-4,3,10,-4,6,-3,-1,-2,2,2,1,-3,0,-1,-1
156,5,4,7,4,2,-1,6,11,-4,7,-3,1,-2,2,-1,3,-2,0,1,-2
157,4,4,8,3,4,0,8,12,-2,9,0,2,2,2,2,7,-1,0,2,-2
158,7,5,12,3,8,1,11,14,2,11,1,6,2,3,5,9,0,1,4,1
159,7,6,15,6,11,2,13,14,3,14,3,6,1,3,8,9,3,3,4,3
160,10,7,15,7,12,4,12,18,5,16,4,8,5,1,11,10,1,5,7,5
161,10,8,13,9,12,8,14,16,6,17,6,10,4,1,11,8,5,7,9,6
162,10,7,13,9,14,9,18,15,9,18,6,11,6,4,14,12,6,6,9,6
163,11,9,14,11,16,11,18,16,10,17,9,11,9,5,14,13,6,9,9,10
164,14,12,14,12,17,11,16,17,11,16,10,7,11,6,16,12,10,9,9,11
165,13,12,13,13,19,12,16,16,13,16,9,8,10,3,15,12,9,9,12,11
166,15,12,12,12,18,11,16,18,13,14,9,11,10,7,16,14,9,11,11,10
167,16,14,11,13,14,12,15,14,14,11,12,11,12,8,17,12,12,14,13,11
168,14,12,10,13,11,11,12,13,13,9,11,8,13,10,15,12,11,13,13,11
169,13,12,8,13,11,10,11,12,14,7,12,10,13,8,17,12,12,13,14,13
170,11,12,7,15,12,12,10,10,15,6,13,9,11,6,18,12,14,12,11,10
171,11,10,6,13,10,13,8,8,15,2,11,7,12,4,18,12,11,13,11,11
172,8,7,4,11,9,11,8,7,11,4,11,7,13,6,14,10,12,13,12,11
173,4,9,2,9,6,10,6,3,10,3,11,8,12,3,9,8,10,12,10,9
174,2,8,2,10,5,12,5,2,8,0,12,4,10,1,8,7,12,12,8,12
175,0,5,1,8,6,8,2,2,8,-2,12,2,9,-2,6,8,11,10,9,7
176,0,5,0,4,5,5,0,1,5,0,9,3,9,-3,5,5,10,10,3,9
177,-1,4,-1,3,2,4,-1,0,5,-2,6,4,6,-4,0,4,8,6,2,9
178,-5,3,0,0,1,5,0,-2,1,-1,4,3,5,-3,-2,0,7,4,3,6
179,-6,-2,-1,0,0,3,-1,-2,2,1,3,3,-2,-5,0,-1,5,4,0,3
180,-7,-2,-1,-1,-1,0,0,-5,1,1,2,1,-1,-7,-6,-1,4,2,-3,4
181,-9,-1,-3,-3,-2,-2,-4,-6,0,-1,0,1,-1,-8,-8,-2,1,2,0,2
182,-9,-4,-6,-4,-4,-1,-5,-9,-3,-1,-3,-2,-2,-7,-10,-3,-1,0,-1,-1
183,-7,-3,-7,-5,-4,-2,-7,-10,-1,-4,-5,-3,-2,-7,-11,-5,1,0,-4,1
184,-9,-5,-6,-5,-7,-6,-7,-9,-1,-4,-4,-5,-2,-5,-14,-5,-3,-2,-3,0
185,-11,-6,-8,-7,-10,-5,-6,-9,-5,-3,-4,-3,-3,-8,-13,-5,-3,-4,-4,-4
186,-10,-8,-9,-8,-5,-6,-6,-12,-3,-4,-5,-3,-4,-8,-11,-7,-4,-3,-3,-5
187,-9,-7,-7,-7,-9,-5,-6,-11,-3,-6,-7,-2,-4,-7,-11,-8,-5,-5,-5,-5
188,-10,-10,-4,-6,-9,-7,-7,-13,-5,-7,-10,-4,-4,-7,-11,-7,-9,-4,-5,-5
189,-9,-8,-5,-7,-6,-7,-9,-15,-8,-7,-9,-7,-7,-7,-12,-6,-10,-7,-6,-5
190,-8,-9,-7,-7,-5,-9,-7,-17,-6,-9,-8,-7,-9,-7,-10,-8,-9,-6,-6,-7
191,-7,-9,-5,-7,-5,-8,-9,-16,-8,-6,-8,-5,-8,-7,-8,-6,-9,-5,-8,-4
192,-7,-10,-7,-6,-6,-8,-9,-15,-8,-8,-8,-6,-7,-7,-8,-7,-9,-6,-7,-6
193,-6,-9,-8,-6,-5,-8,-9,-14,-7,-9,-9,-6,-7,-5,-5,-8,-11,-6,-9,-8
194,-6,-8,-7,-7,-7,-8,-8,-12,-6,-7,-8,-5,-9,-2,-4,-6,-8,-7,-8,-7
195,-6,-7,-6,-8,-6,-7,-7,-11,-7,-5,-8,-5,-8,0,-3,-6,-6,-5,-7,-6
196,-4,-4,-6,-7,-6,-6,-8,-9,-6,-6,-5,-6,-8,1,-2,-6,-7,-5,-8,-5
197,-2,-3,-10,-6,-5,-8,-7,-7,-8,-6,-8,-6,-8,2,0,-4,-4,-5,-6,-5
198,-3,-4,-9,-5,-4,-9,-6,-6,-6,-10,-6,-5,-7,3,0,-6,-5,-5,-8,-3
199,-3,-2,-9,-4,-7,-7,-7,-5,-5,-8,-3,-4,-6,4,4,-5,-6,-5,-7,-6
200,1,-1,-10,-4,-6,-5,-7,-3,-4,-7,-4,-2,-5,8,2,-2,-6,-8,-6,-5
201,2,-2,-11,-4,-8,-7,-8,0,-3,-8,-7,-3,-5,9,3,-2,-5,-5,-5,-5
202,2,-2,-9,-1,-9,-5,-7,1,-1,-7,-1,-3,-3,8,4,-3,-4,-4,-2,-3
203,5,0,-8,-2,-9,-4,-8,2,-3,-7,-2,-5,0,9,4,-3,-2,-5,-4,-3
204,4,2,-7,0,-10,-1,-8,5,-2,-7,-4,-3,-3,7,3,0,0,-5,-1,-3
205,7,0,-5,0,-9,-1,-3,4,0,-4,-2,-2,-1,7,3,-2,-1,-5,1,-2
206,4,1,-5,0,-5,0,-6,9,0,-2,0,-3,2,6,4,-2,-2,-2,2,0
207,7,3,-1,3,-3,1,-4,9,0,-3,-1,-2,5,4,2,-1,0,-3,4,-2
208,5,5,-2,4,-3,2,-4,9,2,-1,-1,-1,4,2,0,2,1,0,3,-1
209,7,7,0,5,-3,2,0,10,3,1,0,2,6,1,2,5,0,1,3,1
210,6,5,1,4,-2,4,1,14,3,4,3,3,6,1,2,4,6,1,5,-1
211,6,4,4,4,0,5,1,13,1,6,5,2,5,-1,0,4,6,3,8,1
212,2,6,7,5,0,6,4,14,1,7,5,4,5,1,3,5,7,2,4,1
213,4,6,7,5,4,8,7,14,3,7,6,5,4,1,4,5,7,5,6,4
214,4,7,9,6,5,9,7,15,3,10,6,4,6,2,4,4,8,5,6,5
215,5,6,10,5,8,7,9,15,2,10,4,5,5,2,3,4,7,5,5,5
216,4,8,9,5,10,8,11,14,5,13,5,8,5,-1,4,4,7,7,7,5
217,4,4,11,4,9,7,12,15,5,14,4,6,5,1,5,6,6,4,5,4
218,6,7,12,6,9,7,13,13,3,14,4,7,5,3,9,6,7,4,4,4
219,6,6,10,5,9,7,14,9,6,15,4,7,4,2,10,5,7,6,5,6
220,6,5,12,1,13,5,14,9,4,18,4,9,7,0,8,5,5,6,5,6
221,4,2,12,3,10,7,15,9,6,16,3,6,6,-1,7,5,6,4,5,7
222,2,1,12,1,11,4,14,10,6,18,4,6,7,-1,8,3,6,5,3,8
223,-1,-1,13,1,13,5,13,7,4,17,5,6,1,-3,8,1,3,7,0,6
224,0,1,12,-1,13,4,14,4,3,15,2,4,0,-3,6,4,2,6,1,2
225,2,-2,9,0,14,3,10,4,5,13,-2,3,1,-3,7,1,2,4,-1,5
226,3,-1,7,-1,15,0,8,3,6,8,0,2,-2,-3,5,3,1,4,1,4
227,2,-2,6,0,13,1,8,1,4,8,-2,0,1,-2,6,3,-1,4,2,2
228,3,0,4,2,10,1,6,-2,4,5,0,0,0,-3,4,2,-1,3,1,1
229,0,-1,4,1,8,1,2,-1,4,2,2,0,1,-2,3,1,1,2,1,-1
230,-2,0,1,0,7,0,2,-2,2,2,2,0,-1,-3,6,3,0,5,-1,2
231,-2,0,-1,-1,3,0,-3,-3,2,0,5,-2,-2,-2,5,2,-1,4,-1,-1
232,-3,0,-3,4,1,0,-4,-2,1,-4,3,-1,0,-2,3,1,-3,4,0,0
233,-3,2,-3,2,2,-4,-4,-4,1,-5,5,-1,-1,-1,0,-1,-1,1,-1,0
234,-6,3,-7,-1,1,0,-4,-5,1,-8,4,1,-3,-3,0,2,0,2,-1,1
235,-4,4,-9,3,-2,2,-9,-4,-1,-10,4,1,-2,-2,-2,2,1,3,1,0
236,-5,5,-8,1,-2,6,-10,-4,1,-11,4,2,-1,0,-2,2,1,1,4,-3
237,-6,4,-8,5,-4,6,-7,-5,1,-13,4,2,0,0,-6,0,2,2,2,-1
238,-6,4,-9,4,-7,3,-6,-4,1,-9,6,1,1,-3,-3,1,2,3,-1,2
239,-5,2,-10,5,-7,2,-8,-2,2,-9,6,3,4,2,-5,-1,0,2,2,3
240,-7,1,-9,3,-9,3,-9,-6,2,-11,4,1,4,3,-7,0,3,2,1,3
241,-8,4,-10,3,-10,3,-8,-6,0,-11,2,2,6,-1,-8,2,3,0,2,3
242,-6,3,-9,4,-11,3,-7,-5,2,-11,1,3,2,-3,-9,0,3,0,3,3
243,-5,3,-13,5,-12,2,-6,-6,4,-12,3,2,6,-1,-10,2,3,1,2,0
244,-4,2,-10,4,-11,3,-8,-7,1,-11,2,3,6,-2,-11,4,3,1,5,1
245,-3,2,-9,3,-10,3,-5,-9,3,-10,5,5,6,-2,-9,3,4,1,5,0
246,-4,-1,-8,4,-10,7,-7,-8,4,-6,7,3,4,-3,-6,2,3,1,6,0
247,-1,1,-7,2,-8,5,-6,-11,1,-8,3,3,5,-5,-6,5,4,2,6,0
248,0,0,-5,1,-7,4,-6,-10,2,-6,5,2,2,-4,-7,2,4,4,2,2
249,2,-1,-4,0,-8,2,-4,-11,1,-4,3,0,2,-4,-5,2,4,2,3,4
250,1,-2,-6,1,-7,2,-7,-10,-2,-4,3,-1,-1,-3,-3,0,0,2,0,2
251,-1,-2,-3,-1,-7,2,-6,-10,-4,-5,3,-3,-1,0,-4,-1,0,5,-1,3
252,0,-4,0,-1,-4,0,-7,-11,-3,-3,-1,-2,-2,-4,-2,0,0,2,-2,3
253,1,-4,0,-1,-1,0,-4,-9,-6,-3,0,-3,-3,-4,0,-1,1,-2,-2,1
254,0,-3,1,-2,-2,-2,-4,-10,-7,-3,-1,-3,-3,-3,3,-2,-1,-3,-4,-4
255,1,-6,2,-3,1,-2,-4,-8,-2,-2,-4,-2,-5,0,3,-1,-4,0,-3,-1
256,-3,-6,3,-4,2,-3,-1,-3,-2,3,-3,-4,-7,-1,2,-5,-5,-1,-4,-2
257,-2,-6,4,-5,0,-4,1,-2,-3,2,-2,-4,-9,0,4,-7,-3,-2,-5,-4
258,0,-6,2,-7,1,-9,1,-4,-3,0,-5,-5,-7,5,5,-6,-6,-3,-7,-3
259,1,-6,2,-6,3,-6,4,-1,-3,1,-6,-4,-9,2,4,-5,-8,-4,-7,-4
260,1,-5,3,-5,4,-8,5,2,-4,1,-6,-6,-9,2,5,-6,-7,-2,-7,-4
261,3,-5,3,-3,3,-5,2,2,-3,1,-7,-6,-7,6,4,-3,-5,-5,-7,-5
262,5,-5,3,-4,0,-6,4,4,-2,4,-5,-5,-7,8,7,-2,-7,-7,-7,-4
263,5,-4,0,-3,4,-6,5,7,0,5,-7,-6,-5,8,8,-3,-5,-5,-4,-1
264,8,-3,4,-1,2,-5,3,9,-4,5,-4,-6,-4,8,7,-1,-4,-7,-4,-4
265,6,-2,5,-5,1,-7,3,10,-3,6,-4,-5,-7,8,8,-3,-5,-4,-3,-2
266,6,-2,6,-3,4,-6,4,13,-1,6,-1,-5,-4,7,8,-3,-5,-2,-4,-3
267,7,-1,6,0,4,-3,5,12,0,5,-2,-4,-3,7,6,-3,-6,-2,-2,-4
