,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
95,-10,5,-7,-22,-14,10,9,12,12,9,1,-12,13,-11,-21,-14,12,-12,-9,-17,8,11,-10,7,0,12,-9,8,9,0,-12,3,12,-11,-9,-11,-13
96,-11,9,-9,-22,-11,13,11,12,12,12,4,-12,11,-10,-23,-13,13,-12,-10,-23,10,10,-10,9,-3,10,-11,9,10,1,-11,2,15,-11,-10,-13,-15
97,-12,11,-10,-22,-11,13,12,14,12,12,6,-11,13,-9,-21,-10,12,-14,-10,-25,9,11,-12,9,-3,12,-10,8,10,4,-13,2,16,-11,-9,-12,-14
98,-14,12,-11,-22,-11,13,14,11,9,12,7,-10,11,-10,-20,-13,13,-12,-12,-25,12,12,-13,12,-3,14,-12,9,12,5,-12,1,14,-12,-7,-13,-13
99,-10,13,-11,-19,-10,13,15,11,10,13,8,-9,11,-11,-17,-11,12,-12,-10,-25,14,13,-13,16,-3,12,-9,9,14,7,-11,1,15,-11,-9,-12,-10
100,-10,12,-10,-16,-9,10,15,10,9,11,8,-10,7,-12,-14,-9,9,-10,-11,-24,12,14,-14,15,-3,15,-7,6,12,7,-11,-1,14,-11,-11,-11,-10
101,-13,11,-13,-13,-8,9,16,10,7,11,12,-7,6,-11,-10,-9,8,-9,-8,-23,12,13,-14,13,0,13,-8,4,11,7,-11,3,12,-12,-10,-11,-10
102,-12,7,-12,-9,-7,7,14,7,7,8,12,-7,5,-10,-8,-6,7,-7,-8,-18,12,11,-12,11,1,10,-6,4,11,6,-9,6,9,-11,-8,-14,-8
103,-8,8,-11,-7,-5,4,12,3,5,7,10,-7,4,-8,-1,-4,7,-5,-8,-14,8,10,-10,11,4,7,-8,4,8,9,-6,7,7,-11,-9,-13,-7
104,-7,7,-9,-3,-5,3,10,3,2,4,6,-2,-1,-8,2,-2,3,-3,-7,-10,7,6,-9,9,7,5,-6,2,5,6,-6,11,4,-11,-5,-7,-4
105,-5,3,-10,-3,-2,2,8,2,2,3,7,-2,-2,-6,6,-1,1,-1,-7,-8,7,4,-5,5,7,3,-1,-3,4,3,-6,13,0,-9,-4,-7,-3
106,-5,3,-6,0,-1,-1,4,-1,2,-1,7,0,-6,-5,10,0,1,3,-5,-4,3,-1,-2,4,11,0,3,-4,0,-1,-2,14,-3,-6,-6,-4,1
107,-3,2,-3,2,1,-5,2,-1,-1,-2,5,-1,-5,-4,14,2,0,4,-2,-4,0,-4,-1,4,14,0,4,-7,2,-4,-1,18,-2,-7,-3,-3,3
108,-1,0,-4,4,2,-3,1,-2,-1,-5,1,0,-5,0,18,4,-3,6,-1,3,-1,-4,1,2,17,0,2,-5,-1,-1,1,22,-4,-3,-2,-2,4
109,0,-1,-1,0,3,-4,-1,-3,-1,-6,1,2,-4,0,17,5,1,7,-1,3,-3,-4,5,-1,19,-2,4,-7,-2,-3,2,20,-2,-1,-1,1,5
110,1,-2,0,1,5,-1,-3,-3,1,-6,0,4,-1,3,19,4,1,7,1,4,-1,-4,5,-2,18,-2,6,-6,-2,-6,5,23,-3,1,2,6,10
111,2,-3,2,2,7,-1,-2,-1,0,-3,-1,5,0,2,21,4,2,6,2,5,-2,-3,6,-3,19,-2,5,-4,-2,-7,7,25,-4,2,3,5,8
112,3,-3,4,2,6,1,0,0,2,-3,-2,6,2,5,20,5,4,6,3,4,-2,-1,6,-2,21,0,8,0,-1,-7,5,21,-1,7,5,4,9
113,2,1,6,1,5,2,0,2,5,1,-2,7,7,5,20,4,6,6,3,1,1,-1,7,0,19,2,7,2,0,-3,6,18,1,8,7,5,7
