,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
230,3,2,2,4,1,5,0,-7,2,-5,4,1,0,5,-1,0,3,-4,6,0,6
231,5,2,3,4,3,5,1,3,6,2,4,2,5,7,1,0,1,4,6,3,4
232,5,4,1,4,3,9,5,4,1,4,3,4,5,8,5,5,3,5,4,4,3
233,1,4,1,0,2,6,8,-2,-3,0,4,1,1,7,-1,3,-1,0,3,2,4
234,-1,2,-1,-1,2,0,-3,-2,-3,-7,-2,3,-2,1,-6,0,-1,-3,0,-1,3
235,1,-1,0,-1,2,0,-3,1,0,0,-1,1,1,2,3,-1,3,-4,-1,-3,-1
236,6,0,2,1,6,4,2,4,6,1,-1,-2,2,3,4,2,4,1,6,0,-1
237,10,2,5,6,11,6,3,1,7,1,5,4,0,5,0,6,6,-1,6,4,2
238,9,4,8,10,9,7,0,-1,8,-2,5,7,-2,10,-3,9,8,-5,8,6,2
239,9,5,6,9,8,6,-4,0,6,-1,4,9,0,9,1,12,7,-6,7,7,5
240,7,4,5,4,5,5,1,2,3,4,5,7,5,3,6,7,3,1,2,7,8
241,2,4,3,4,3,-1,5,5,0,4,-1,6,4,3,4,5,-2,7,0,7,6
242,-1,0,1,0,1,-2,5,7,-3,5,-6,2,5,-1,3,0,-3,3,-3,0,3
243,-4,-3,-6,-6,0,-4,2,4,-6,4,-7,-1,3,-6,6,-5,-4,2,-5,-2,0
244,0,-4,-4,-3,0,-6,2,8,-4,5,-6,-2,5,-7,2,-6,-2,4,-6,-6,-5
245,2,-5,-2,0,1,-4,5,5,-1,5,-4,-6,5,-5,3,-6,3,4,-5,-5,-4
246,7,-1,-1,1,5,-1,0,4,5,2,1,-1,-2,-1,0,1,5,1,1,0,-3
247,6,1,2,1,5,4,-1,0,3,-1,7,3,-5,1,-3,1,6,1,2,3,2
248,6,1,6,5,5,5,-1,1,8,-1,5,4,-1,3,-2,2,7,1,4,6,5
249,6,5,7,8,4,6,0,8,4,2,6,7,4,5,2,6,9,2,4,7,4
250,2,6,4,2,1,3,4,7,0,7,5,5,4,6,6,3,3,6,1,6,6
