,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
54,-1,5,5,-10,2,-1,-3,6,11,-1,-2,-4,3,-3,-4,-2,-9,-3,1,-3,2,-9,-1,-3,0,5,-5,-7,-4,-2,-1,-8,-8,-6,-1,-5,9,2,8,-1,0,-4,-6,-2,-6,-9
55,-10,-6,-5,-13,-4,-4,-8,-4,0,-9,-8,-7,-4,-5,-7,-6,-10,-7,-4,-9,-8,-14,-11,-6,-9,-7,-11,-10,-8,-8,-4,-11,-14,-10,-2,-5,-6,-4,-5,-9,-5,-8,-10,-8,-8,-12
56,-15,-9,-13,-21,-12,-8,-15,-14,-9,-8,-12,-13,-13,-9,-12,-11,-13,-9,-6,-10,-12,-20,-14,-8,-11,-10,-17,-15,-10,-11,-11,-16,-18,-15,-8,-8,-10,-8,-10,-11,-11,-14,-11,-11,-12,-16
57,-11,-10,-12,-16,-10,-13,-17,-12,-12,-6,-17,-16,-8,-17,-16,-14,-20,-16,-12,-14,-10,-22,-11,-13,-10,-8,-16,-18,-15,-16,-14,-16,-18,-19,-14,-12,-9,-11,-10,-10,-13,-15,-11,-15,-16,-16
58,-9,-8,-10,-9,-8,-16,-15,-11,-8,-8,-20,-14,-7,-15,-16,-15,-12,-21,-17,-20,-5,-18,-9,-17,-9,-9,-10,-14,-22,-18,-17,-8,-8,-12,-17,-14,-9,-14,-9,-8,-18,-17,-6,-17,-13,-11
59,-5,-10,-11,-1,-7,-10,-5,-9,-9,-7,-15,-6,-5,-12,-9,-16,-2,-13,-15,-17,-7,-9,-6,-7,-6,-5,0,-4,-16,-10,-17,0,5,2,-13,-7,-8,-13,-8,-7,-11,-10,-3,-12,-6,1
60,1,-1,-3,15,2,1,9,-6,-4,4,-7,6,4,3,3,-5,13,1,-8,-8,2,3,1,4,2,0,14,10,-5,3,-5,16,15,12,-4,5,-1,-4,-1,1,1,0,4,0,11,14
61,6,9,4,22,7,15,21,1,4,10,8,20,10,17,17,11,19,16,6,9,10,20,7,18,6,6,24,22,9,15,8,25,21,24,7,16,7,11,5,10,15,13,11,16,23,22
62,10,12,4,21,11,25,22,9,9,8,19,24,13,26,22,21,19,23,18,21,13,24,9,21,11,9,21,24,21,23,24,22,16,24,20,27,8,22,6,9,22,22,11,23,24,22
63,9,15,6,11,7,22,13,5,10,10,19,16,9,23,15,21,13,21,21,23,12,16,7,18,7,7,14,17,25,20,27,14,11,13,24,21,8,24,9,10,21,22,11,22,21,13
64,5,12,4,9,5,16,10,5,9,5,13,8,7,17,11,16,8,14,17,18,7,12,2,13,6,7,14,13,19,12,22,14,9,11,16,14,10,19,10,5,17,16,9,15,13,13
65,-1,8,4,2,5,12,5,-1,4,2,5,8,4,14,7,13,4,10,11,13,3,10,1,7,0,5,6,7,15,5,17,9,-4,5,8,12,3,14,5,1,11,12,1,11,11,6
66,-3,2,-2,-17,0,5,-9,-4,0,-1,4,-3,-1,5,-3,7,-13,3,8,10,-2,-3,-5,-1,-5,-2,-11,-7,11,0,11,-10,-20,-9,7,4,-3,10,-2,-3,5,6,-2,4,-6,-11
67,-7,-6,-5,-25,-4,-10,-23,-7,-6,-4,-10,-20,-6,-11,-20,-7,-24,-14,-5,-4,-8,-19,-9,-16,-7,-7,-23,-24,-3,-17,0,-23,-22,-23,-5,-13,-8,-4,-4,-6,-13,-10,-7,-10,-21,-20
68,-11,-8,-7,-16,-10,-25,-17,-12,-6,-8,-25,-27,-11,-22,-29,-21,-21,-24,-22,-20,-10,-22,-10,-22,-13,-10,-16,-20,-18,-25,-17,-18,-14,-21,-23,-24,-10,-21,-11,-11,-25,-21,-11,-22,-24,-13
69,-18,-13,-14,-5,-13,-19,-5,-13,-10,-14,-19,-14,-15,-19,-16,-19,-9,-14,-24,-21,-14,-8,-15,-13,-15,-13,-6,-10,-22,-16,-22,-5,-3,-5,-22,-18,-12,-21,-15,-15,-16,-18,-19,-14,-12,-3
70,-16,-15,-20,-4,-18,-7,-2,-18,-18,-12,-6,-7,-18,-6,-8,-10,-6,-4,-14,-8,-19,-1,-17,-3,-18,-18,-3,-4,-12,-6,-13,-3,-5,-3,-7,-5,-18,-10,-17,-15,-6,-4,-15,-1,-6,-3
71,-10,-14,-15,0,-16,-2,-1,-15,-18,-8,-1,-6,-16,-4,-6,-3,1,-3,-4,-3,-13,1,-10,-2,-10,-13,4,-2,-4,-2,-6,-1,4,-1,-1,-2,-14,-3,-16,-10,-4,-2,-9,2,-3,1
72,0,-8,-6,15,-6,-3,10,-5,-12,1,-2,1,-5,0,1,-2,11,1,-4,-2,-1,8,4,3,2,-2,11,6,-3,1,-3,9,19,11,1,-1,-5,-1,-8,1,-3,-4,5,6,3,17
73,16,5,9,24,9,11,20,8,0,18,11,16,9,12,16,7,24,17,4,6,12,19,16,18,17,10,23,21,6,18,1,22,26,22,9,11,8,7,9,17,11,9,21,17,15,23
