,0,1,2,3,4,5,6,7,8,9,10
276,1,2,-1,3,1,2,-4,-3,4,-4,-1
277,-1,-3,-3,1,-2,3,-4,-5,4,-5,-2
278,-2,-3,-2,-3,0,-2,-5,-3,4,-3,-4
279,-6,-4,-4,-3,-1,-4,-6,-2,4,-4,-4
280,-4,-5,-5,-1,0,-2,-6,-3,5,-5,-6
281,-8,-5,-5,-3,0,-3,-6,-3,4,-4,-6
282,-9,-5,-4,-2,-2,-4,-6,-2,4,-4,-8
283,-11,-6,-5,-4,-1,-3,-4,-1,4,-4,-7
284,-10,-1,-5,-5,-4,-5,-6,-6,8,-4,-6
285,-11,-3,-6,-7,-5,-5,-4,-7,7,-2,-5
286,-8,-4,-6,-5,-5,-6,-1,-4,8,-1,-6
287,-9,-2,-6,-5,-7,-4,-2,-2,6,0,-6
288,-5,-4,-5,-4,-6,-1,0,-2,4,0,-4
289,-3,0,-1,-4,-2,1,0,2,2,0,-1
290,-2,1,-1,-2,0,-1,2,4,2,2,0
291,-1,2,0,0,0,2,3,5,2,4,1
292,3,1,0,2,-2,1,5,8,1,5,4
293,3,2,1,4,2,1,5,8,0,7,2
294,4,3,4,6,2,3,6,7,-1,8,5
295,5,3,5,4,3,5,6,7,3,9,4
296,6,5,5,4,4,5,6,11,-3,7,5
297,6,7,6,5,7,5,7,11,-4,10,5
298,6,8,6,5,10,6,6,15,-4,12,6
299,7,9,7,5,9,5,5,14,-1,13,5
300,6,11,7,5,9,4,7,13,-2,13,5
301,7,8,10,5,10,6,6,14,-3,12,7
302,7,7,8,3,7,5,4,15,-3,12,3
303,7,8,7,2,5,3,3,12,-5,9,4
304,5,7,6,2,5,3,2,9,-8,9,2
305,6,2,7,1,5,3,1,4,-5,10,4
306,1,2,3,-1,4,3,0,4,-6,7,1
307,1,1,5,1,4,3,2,4,-6,6,0
308,0,-2,5,-1,0,0,1,1,-6,4,-1
309,1,-5,4,3,1,-1,1,-1,-6,1,-1
310,1,-2,2,0,-1,0,-2,-3,-6,-3,0
311,-1,-4,-1,0,-2,-3,-5,-7,-10,-5,-1
312,0,-7,-1,-1,-3,-3,-4,-7,-9,-6,-3
313,-3,-8,-4,-1,-3,-4,-7,-10,-9,-7,-3
314,-5,-8,-3,-2,-4,-3,-7,-11,-7,-12,-5
315,-5,-5,-3,-2,-5,-2,-3,-11,-6,-11,-5
316,-5,-4,-5,0,-6,-1,-4,-13,-7,-11,-5
317,-2,-3,-5,-1,-4,-3,-4,-12,-6,-13,-2
318,-3,-3,-7,-1,-2,-2,-5,-12,-3,-12,-4
319,-3,-2,-8,-1,-5,-3,-5,-10,-4,-14,-4
320,-5,-3,-6,-5,-6,-4,-4,-14,-4,-15,-5
321,-6,-4,-6,-5,-8,-4,-5,-13,-3,-13,-6
322,-4,-3,-6,-8,-5,-6,-5,-13,-1,-14,-5
323,-6,-5,-6,-7,-7,-7,-5,-14,1,-16,-5
324,-8,-4,-6,-6,-5,-4,-2,-11,0,-12,-3
325,-5,-2,-6,-7,-2,-3,-1,-10,-2,-9,-1
326,-2,-1,-4,-4,-2,-2,0,-8,3,-10,-1
327,-5,-1,-4,-3,-1,-2,-1,-5,3,-7,-1
328,-4,0,-4,-2,-3,-2,0,-3,2,-3,-1
329,-4,1,-4,-3,-1,-3,1,-3,0,-1,1
330,0,0,-3,-2,-1,-2,-2,-2,3,-1,-1
331,-1,1,-4,-4,0,1,0,3,3,3,-2
332,-1,0,-2,-4,4,-1,3,7,4,5,-1
333,-2,2,0,-1,5,0,3,7,5,6,0
334,2,3,3,1,5,0,4,10,6,8,1
335,3,5,1,-1,5,1,3,10,7,8,2
336,2,3,4,-3,3,2,5,12,8,9,4
337,2,3,2,0,7,2,3,11,6,9,4
338,3,2,4,1,6,1,2,8,6,10,2
339,5,2,4,2,5,1,3,7,6,9,1
340,3,2,5,2,4,0,3,6,5,4,0
341,5,1,5,5,2,2,3,6,3,7,4
342,6,2,7,3,2,4,6,3,1,4,2
343,6,5,5,3,3,4,5,3,0,1,4
344,6,5,7,5,4,3,2,4,-3,1,3
345,7,3,4,4,2,3,2,2,-1,1,3
346,9,0,6,4,1,2,2,2,-2,0,2
347,4,2,3,4,0,-1,2,0,-2,-1,0
348,4,3,3,1,0,-1,1,2,-4,-1,0
349,3,3,3,0,0,1,4,1,-6,-1,1
350,3,1,3,2,2,-3,3,0,-4,1,2
351,3,0,2,1,2,-2,3,-1,-5,1,3
352,5,1,4,0,3,0,4,1,-2,1,3
353,4,3,3,0,1,1,2,0,2,1,3
354,4,3,2,1,0,-1,1,0,0,1,3
355,4,0,1,0,-5,-2,2,-3,1,0,1
356,3,-2,-2,-5,-7,-1,1,-2,1,-2,2
