,0,1,2,3,4,5,6,7,8,9,10,11,12,13
246,-7,0,-2,-5,3,3,-4,3,-6,-3,-2,0,-6,4
247,-4,-4,-4,-5,-4,-3,-5,-3,-5,-5,-4,-3,-3,-2
248,-2,-4,-7,-2,-5,-6,0,-5,1,-6,-7,-7,-4,-4
249,-4,-3,-6,-1,-5,-5,3,-7,3,-4,-4,-7,-4,-2
250,-2,0,-1,3,-5,-6,1,-5,3,-2,0,-4,1,-1
251,-1,5,0,8,0,-1,3,-4,0,3,5,-1,8,3
252,0,9,6,9,6,6,4,0,2,9,10,4,12,8
253,-4,12,13,9,12,10,2,6,2,9,12,9,10,9
254,-7,6,10,2,9,8,-4,8,-4,5,11,12,9,5
255,-7,4,4,2,5,2,-6,3,-8,5,4,3,5,0
256,-4,6,3,3,3,0,-5,1,-6,5,5,1,3,2
257,-6,2,4,0,5,0,-7,1,-6,1,7,4,2,0
258,-5,-2,-2,-6,1,-1,-6,2,-10,-3,-3,0,-4,-5
259,-4,-4,-3,-4,-6,-6,-4,-5,-4,-5,-4,-5,-7,-7
260,2,0,-3,0,-8,-7,1,-3,-1,-3,-7,-7,-4,-4
261,0,1,1,1,-2,0,4,-1,-4,2,-3,-2,0,2
262,-1,1,3,2,-2,1,1,4,-8,2,-1,-2,2,0
263,-3,3,2,3,2,5,0,3,-3,4,1,2,1,0
264,-1,4,1,4,2,5,2,3,-3,-1,3,1,3,4
265,-1,3,0,2,1,4,-1,6,-5,3,-1,1,4,3
266,-6,0,-1,-1,1,6,-3,3,-8,2,0,2,1,2
267,-3,0,-2,-4,-3,2,-4,0,-4,-2,-5,3,-4,-2
268,2,-6,-5,-4,-4,-1,5,-1,0,-7,-6,-5,-6,2
269,8,-5,-8,-6,-6,-4,8,-2,7,-7,-6,-6,-5,-1
270,11,-4,-6,-6,-5,-7,11,-4,9,-7,-7,-4,-8,-6
271,5,-3,-8,-1,-6,-6,9,-6,10,-5,-5,-7,-4,-5
272,5,-1,-3,2,-8,-6,4,0,8,-5,-3,-7,1,-1
273,0,4,2,1,0,-2,2,2,2,1,1,-3,3,3
274,-7,-2,3,-4,2,-3,-5,3,0,0,-2,-1,1,1
275,-9,0,-1,-2,-2,-2,-10,0,-9,-2,-4,-4,-4,-3
276,-11,0,-4,-3,-3,-6,-14,-3,-12,-1,-2,-7,-6,1
277,-7,-3,-2,-6,-4,-5,-14,0,-8,1,-1,-3,-7,-2
278,-1,-7,-2,-7,-3,-3,-6,-2,-3,-4,-3,-2,-10,-7
279,5,-10,-5,-7,-8,-6,0,-3,0,-7,-7,-6,-10,-9
280,8,-1,-7,1,-8,-7,3,-4,4,-5,-7,-11,-7,-7
281,9,2,0,4,-2,-3,8,-4,6,3,3,-6,0,1
282,12,8,8,7,5,6,11,4,8,7,9,2,3,6
283,10,8,10,9,10,9,10,8,7,10,10,5,3,6
284,2,6,10,6,9,8,5,10,2,9,10,7,4,8
285,-5,5,6,2,5,10,-4,6,-6,5,10,5,3,5
286,-12,-2,5,-1,5,7,-11,0,-16,2,5,4,-1,2
287,-12,-8,1,-9,1,2,-9,1,-11,-2,0,2,-2,-3
