,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
211,27,33,47,16,31,51,50,28,21,29,25,32,28,45,26,22,26,43,30,34,52,34,50
212,45,52,53,37,50,55,54,49,46,51,43,48,46,51,44,44,48,54,51,51,55,49,44
213,49,57,53,46,54,52,45,53,55,55,51,47,53,52,54,53,54,53,51,54,48,52,30
214,42,51,41,45,50,37,28,47,50,51,42,36,48,38,46,51,49,41,46,46,33,44,14
215,30,39,19,35,36,12,8,35,41,37,30,19,37,19,36,40,36,23,36,30,7,28,-9
216,13,17,-6,20,18,-16,-16,14,20,18,14,-1,18,-7,13,20,15,-3,13,8,-16,6,-31
217,-10,-10,-32,0,-10,-36,-41,-10,-5,-9,-6,-24,-9,-31,-9,-4,-8,-26,-15,-19,-38,-19,-45
218,-33,-36,-46,-24,-33,-49,-51,-37,-32,-34,-32,-45,-34,-49,-33,-30,-33,-45,-37,-38,-50,-41,-49
219,-45,-50,-50,-42,-47,-50,-47,-47,-46,-47,-46,-53,-46,-50,-42,-45,-49,-52,-46,-46,-50,-48,-41
220,-42,-48,-42,-49,-50,-37,-35,-47,-50,-48,-46,-49,-45,-40,-44,-48,-49,-42,-48,-46,-34,-47,-30
221,-33,-39,-25,-42,-38,-19,-18,-38,-41,-38,-36,-36,-36,-23,-34,-39,-39,-30,-39,-33,-15,-32,-6
222,-17,-23,-1,-26,-24,5,9,-22,-25,-24,-21,-16,-22,-4,-19,-20,-25,-7,-21,-14,4,-12,22
223,3,-2,23,-10,0,28,34,4,0,0,-4,7,5,20,0,1,-4,18,2,12,32,12,38
224,22,27,42,8,27,43,48,26,25,25,18,33,28,40,25,23,25,41,26,34,44,35,49
225,43,44,52,36,43,47,49,40,44,41,38,46,43,48,43,41,41,51,43,48,45,49,49
226,46,48,47,48,49,37,43,46,50,50,47,48,52,44,48,50,49,44,48,51,38,49,41
227,40,42,32,44,44,25,24,40,47,43,43,45,42,31,38,45,44,36,39,41,24,39,21
228,28,27,15,37,29,3,3,26,32,33,33,29,30,14,26,33,31,18,25,27,1,21,-3
229,10,6,-11,23,8,-23,-20,6,17,11,18,8,9,-10,6,12,11,-5,7,5,-25,0,-21
230,-12,-15,-35,0,-16,-42,-38,-18,-8,-13,-7,-15,-11,-35,-16,-13,-15,-28,-15,-22,-42,-25,-40
231,-36,-37,-52,-23,-36,-48,-50,-37,-33,-35,-29,-33,-35,-47,-37,-38,-32,-46,-37,-41,-49,-40,-47
232,-51,-49,-54,-43,-51,-47,-49,-53,-45,-51,-46,-45,-48,-50,-48,-48,-49,-51,-49,-52,-47,-51,-41
