,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
217,-14,-15,8,20,-16,-16,6,-15,6,26,-11,-18,-14,-13,-18,5,-11,-13,-13
218,-16,-18,10,22,-18,-20,9,-17,13,24,-7,-17,-18,-17,-18,11,-14,-16,-14
219,-19,-20,13,20,-19,-19,12,-18,14,24,-2,-17,-19,-18,-20,16,-17,-16,-17
220,-19,-20,15,15,-20,-18,15,-21,17,19,3,-17,-20,-20,-21,17,-20,-18,-18
221,-18,-20,18,9,-20,-19,18,-19,18,15,8,-19,-20,-19,-18,17,-21,-21,-19
222,-19,-18,17,6,-19,-15,18,-17,19,10,14,-18,-17,-19,-15,16,-20,-20,-18
223,-17,-17,17,2,-16,-10,20,-15,17,8,18,-12,-18,-14,-12,16,-18,-17,-15
224,-11,-13,13,-3,-10,-8,16,-9,15,4,22,-9,-14,-11,-8,13,-16,-15,-10
225,-7,-6,13,-7,-7,-6,15,-5,11,1,23,-7,-11,-7,-2,7,-13,-11,-6
226,-3,0,10,-9,-3,-1,11,0,7,-5,26,-2,-7,-1,2,7,-6,-6,0
227,2,5,4,-11,2,4,7,7,1,-10,24,3,-1,1,6,3,-2,-1,2
228,6,9,-2,-13,6,9,2,9,-3,-12,28,10,1,7,10,0,2,3,6
229,13,14,-5,-17,11,13,-5,15,-6,-17,24,14,8,12,16,-4,7,8,12
230,16,17,-9,-15,17,17,-6,16,-10,-17,24,18,16,16,21,-8,13,15,16
231,19,22,-13,-14,20,21,-11,19,-13,-16,20,21,20,22,22,-12,16,17,18
232,25,25,-17,-16,25,24,-15,24,-16,-16,13,23,23,24,25,-16,21,22,20
233,26,29,-20,-15,27,25,-18,26,-20,-16,12,24,26,24,25,-18,22,22,22
234,28,25,-22,-12,28,26,-20,25,-22,-14,4,26,27,25,26,-20,25,25,23
235,28,27,-25,-10,30,24,-21,26,-25,-10,-3,28,28,24,24,-23,28,27,24
236,25,25,-26,-6,25,23,-24,22,-23,-10,-7,24,28,21,24,-26,26,26,22
237,23,22,-22,0,24,19,-23,21,-23,-7,-12,21,27,21,19,-23,24,24,21
238,20,15,-20,2,21,15,-19,15,-21,-2,-19,19,23,18,14,-19,21,22,15
239,18,11,-17,6,15,10,-17,11,-14,3,-23,14,17,12,11,-16,18,15,15
240,14,6,-11,9,8,5,-15,4,-11,5,-26,7,12,8,3,-15,11,13,9
241,9,1,-5,10,5,-1,-9,0,-6,10,-28,2,7,2,0,-9,8,8,7
242,1,-4,0,13,0,-6,-3,-5,-2,13,-32,-4,2,-1,-5,-3,4,5,2
243,-6,-11,3,15,-9,-10,2,-10,2,16,-33,-11,-4,-8,-9,3,-2,-3,-2
244,-13,-13,10,15,-13,-14,6,-15,8,19,-30,-13,-9,-11,-13,5,-8,-7,-6
245,-19,-17,14,16,-19,-16,10,-21,10,17,-29,-17,-15,-17,-19,12,-14,-13,-12
246,-23,-21,17,13,-22,-19,13,-21,12,18,-25,-19,-17,-20,-22,14,-17,-16,-17
247,-27,-26,19,11,-21,-22,16,-23,18,14,-18,-21,-22,-20,-22,19,-19,-20,-18
248,-28,-26,21,12,-26,-22,20,-24,19,12,-15,-25,-23,-20,-24,22,-20,-21,-20
249,-28,-24,21,8,-25,-23,21,-25,18,7,-11,-23,-25,-21,-24,21,-21,-23,-23
250,-26,-22,20,3,-25,-23,19,-24,17,5,-6,-23,-26,-23,-21,21,-22,-24,-23
251,-24,-21,18,-1,-23,-19,20,-20,17,1,0,-19,-25,-18,-18,21,-19,-23,-22
252,-22,-15,15,-6,-20,-15,16,-16,12,-5,5,-15,-22,-16,-16,19,-17,-23,-18
253,-18,-14,10,-9,-16,-13,11,-13,11,-8,11,-12,-17,-13,-15,13,-13,-20,-15
254,-14,-10,8,-14,-13,-10,10,-7,10,-13,17,-6,-14,-9,-6,8,-10,-16,-8
255,-10,-5,5,-15,-5,-5,6,-2,6,-18,22,-5,-8,-6,1,4,-9,-12,-6
256,-2,2,-2,-18,-3,2,2,3,-1,-19,22,0,-5,0,6,1,-2,-9,0
257,6,8,-8,-21,3,8,-4,8,-4,-22,25,6,0,6,10,-4,0,0,7
258,10,11,-13,-21,9,14,-7,11,-7,-21,24,11,5,12,16,-7,3,6,11
259,13,15,-17,-20,15,15,-12,16,-11,-22,26,16,12,17,19,-13,8,9,13
260,19,21,-21,-20,17,20,-15,19,-16,-19,24,19,15,19,21,-17,13,14,18
261,20,20,-21,-18,20,23,-18,22,-19,-16,21,21,20,22,25,-19,16,19,21
262,22,22,-22,-13,21,24,-21,23,-21,-15,19,20,22,24,26,-23,17,22,22
263,23,24,-22,-8,25,23,-21,21,-23,-9,13,21,24,26,24,-22,19,22,23
264,23,19,-21,-1,25,23,-23,21,-23,-5,10,19,24,22,20,-22,19,24,19
265,21,18,-16,3,21,21,-20,17,-22,-1,5,16,23,22,17,-21,19,23,18
266,17,15,-15,7,19,16,-16,10,-20,3,0,13,23,19,11,-20,19,19,17
267,14,9,-9,13,16,11,-14,6,-18,9,-8,10,17,14,7,-14,17,15,11
268,10,5,-3,16,10,7,-9,5,-11,14,-9,5,13,8,4,-12,12,14,5
269,3,-1,1,17,5,2,-5,-5,-6,16,-15,1,9,4,-5,-8,8,8,0
270,-3,-5,6,21,-1,-7,2,-11,-1,18,-17,-7,1,-5,-11,1,2,2,-4
271,-10,-8,11,21,-10,-13,4,-12,4,20,-19,-12,-5,-12,-16,5,-4,-5,-9
272,-17,-14,17,19,-18,-17,11,-19,12,19,-19,-18,-12,-15,-20,9,-10,-11,-16
273,-23,-20,22,18,-25,-21,15,-23,17,20,-21,-24,-16,-19,-25,17,-17,-17,-20
274,-26,-23,24,18,-28,-27,20,-25,23,20,-22,-27,-24,-26,-26,22,-20,-23,-25
275,-30,-25,28,9,-29,-28,25,-28,28,16,-21,-28,-26,-28,-28,24,-24,-28,-29
276,-29,-30,30,4,-33,-29,28,-31,30,12,-17,-31,-26,-30,-28,27,-26,-31,-28
277,-34,-31,30,3,-35,-30,31,-33,32,9,-13,-31,-29,-30,-28,27,-29,-31,-28
278,-32,-29,30,-3,-35,-28,31,-30,35,5,-7,-29,-30,-31,-25,26,-29,-32,-27
279,-31,-28,30,-7,-32,-25,31,-28,35,0,-3,-26,-32,-26,-21,27,-29,-30,-24
280,-25,-26,27,-12,-26,-18,30,-23,31,-6,2,-24,-30,-24,-19,28,-27,-28,-20
281,-20,-19,21,-16,-22,-16,26,-16,26,-11,9,-18,-25,-18,-14,25,-22,-24,-16
