,0,1,2,3,4,5,6,7,8,9,10
224,14,4,2,1,-2,-11,-9,-16,-10,11,7
225,11,-2,1,-2,-5,-7,-8,-13,-5,6,7
226,9,-6,1,-6,-8,0,-9,-7,-4,6,2
227,2,-5,0,-4,-8,6,-6,-9,6,4,3
228,-2,-11,-1,-8,-10,11,-5,-8,8,1,1
229,-1,-9,2,-6,-9,9,2,-7,11,0,1
230,-2,-6,1,-8,-6,8,2,-4,9,-1,4
231,-2,-8,2,-9,-8,5,3,-1,3,2,5
232,2,-5,2,-6,-5,2,7,3,4,6,2
233,-3,-5,2,-5,-4,7,4,4,4,3,-2
234,-7,-1,3,-1,-2,5,5,6,5,-2,-4
235,-6,-2,1,0,-1,6,0,8,4,-5,2
236,0,-2,3,-1,-1,6,-1,10,3,2,3
237,-1,1,2,4,3,7,-3,13,9,5,-2
238,-7,0,1,1,2,11,-6,13,8,-2,-10
239,-11,3,2,1,5,8,-3,11,8,-10,-14
240,-13,2,-4,3,6,6,-5,10,6,-14,-12
241,-13,2,-2,5,7,6,-3,4,3,-13,-14
242,-15,6,-2,6,8,7,-1,2,6,-13,-12
243,-12,5,-3,5,7,6,-2,7,5,-13,-10
244,-9,4,-1,6,5,0,-1,4,1,-10,-10
245,-9,3,-5,3,4,0,-4,1,1,-8,-9
246,-7,5,-1,5,7,1,-3,2,-1,-5,-6
247,-5,8,-3,8,4,-3,-4,3,-3,-4,0
248,-2,5,-3,7,6,-3,-3,5,-4,-1,-1
249,-3,8,-5,6,7,-4,-1,3,-2,1,-6
250,-2,9,-4,3,2,1,-2,0,2,-4,-9
251,-8,6,0,7,2,2,-1,-4,2,-7,-14
252,-12,5,-2,3,0,-1,2,-2,3,-13,-12
253,-9,2,-3,-1,-5,2,7,-1,1,-11,-12
254,-3,-3,2,-3,-5,5,9,-5,7,-7,-4
255,1,-4,3,-6,-8,11,9,-8,9,0,5
256,9,-3,1,-7,-7,7,11,-5,9,8,10
257,11,-5,1,-9,-6,2,14,-3,6,8,10
258,9,-8,5,-9,-10,0,13,1,0,9,6
259,9,-7,5,-9,-8,1,11,2,3,8,5
260,8,-10,2,-8,-8,4,7,6,6,7,-1
261,6,-10,-2,-6,-8,0,4,7,4,4,-3
262,0,-8,-4,-8,-3,2,2,6,1,-2,-3
263,-1,-7,-6,-6,-4,4,3,6,4,-2,-3
264,2,-6,-4,-1,-2,6,3,2,9,0,2
265,1,-3,-3,-2,-3,6,6,3,4,1,2
266,5,1,-1,-1,2,0,10,1,1,3,7
267,5,-1,-2,1,3,-5,7,-5,-4,6,9
268,11,1,2,3,2,-7,3,-6,-6,11,10
269,11,3,4,6,6,-10,-1,-3,-7,11,12
270,10,5,3,5,6,-10,-7,1,-10,12,7
271,7,4,5,7,8,-14,-7,-5,-12,10,5
272,2,6,4,8,8,-14,-10,-8,-11,3,3
273,4,8,4,7,10,-8,-8,-4,-10,5,2
274,1,9,3,8,9,-9,-9,-1,-7,4,3
275,1,7,2,8,5,-10,-10,1,-8,1,0
276,1,9,1,8,6,-8,-6,-8,-7,3,5
277,5,7,1,3,0,0,-9,-7,-5,5,7
278,10,4,3,2,0,-5,-9,-5,-4,13,8
279,6,2,-1,1,-1,-10,-10,-7,-7,10,7
280,6,-3,0,-4,-2,-6,-8,-8,-11,7,6
281,7,-1,2,-1,0,-5,-5,-10,-6,11,10
282,8,-5,1,-6,1,-2,-4,-8,0,9,9
283,4,-1,3,-3,3,-1,-1,-7,-1,7,-2
284,-8,-1,1,-1,-2,1,3,-4,4,-2,-7
285,-8,-5,0,-1,-4,5,5,-5,4,-8,-10
286,-7,-2,0,-3,-3,8,5,-6,12,-9,-6
287,-6,-4,-3,-6,-6,12,2,-4,17,-9,-8
288,-5,-3,-3,-7,-9,7,1,2,15,-9,-9
289,-3,-8,-5,-8,-13,4,1,6,10,-7,0
290,5,-9,0,-11,-12,3,1,6,7,0,3
291,7,-8,-1,-12,-11,4,2,7,8,5,5
292,4,-6,-1,-10,-10,3,5,13,5,7,0
293,0,-3,0,-6,-6,4,11,11,4,0,-6
294,-5,-1,-3,-2,-3,8,11,8,7,-4,-3
295,-5,1,-5,-2,2,12,9,7,8,-6,-8
296,-8,7,-5,3,5,10,12,12,11,-9,-11
297,-16,6,-4,3,4,11,7,17,11,-13,-16
298,-19,8,-2,4,7,8,7,11,7,-14,-13
299,-15,8,-8,4,6,9,2,13,6,-12,-8
300,-8,7,-5,7,9,9,1,16,6,-7,-10
301,-15,11,-2,14,11,1,-3,14,1,-6,-10
302,-14,12,-3,13,14,-6,-4,16,-7,-7,-7
303,-8,13,1,12,16,-9,1,8,-8,-3,-4
304,-6,10,1,11,12,-3,-1,1,-3,-2,-4
305,-5,11,3,9,8,2,0,-4,-3,-3,-7
306,-7,10,2,9,6,-2,3,-9,1,-6,-4
307,-3,5,0,5,-2,5,6,-9,1,-4,-4
308,1,3,3,2,-4,6,3,-13,6,3,-2
309,-2,-2,1,-7,-8,8,2,-9,9,-2,-2
310,1,-4,2,-7,-6,6,2,-3,6,2,-3
311,6,-7,-1,-5,-8,0,6,-4,1,0,2
312,9,-8,2,-7,-8,-3,4,-4,-5,4,4
313,7,-2,-1,-6,-4,-6,5,-3,-6,6,3
314,8,-6,-5,-5,-5,-7,6,-2,-7,6,4
315,14,-6,-4,-3,-5,-7,6,-5,-9,8,10
316,15,-5,-7,-4,-8,-7,4,-11,-6,14,15
317,20,-9,-7,-7,-8,-3,7,-10,-3,16,12
318,20,-8,-1,-6,-9,1,7,-8,4,16,14
319,18,-9,-2,-10,-12,6,7,-6,5,14,15
320,19,-11,0,-8,-8,7,6,-7,7,15,13
321,13,-10,-1,-7,-10,3,2,-6,6,14,9
322,14,-12,3,-7,-7,4,-1,-4,3,10,9
323,11,-5,1,-4,-2,-3,-3,-4,-2,10,11
324,11,-2,-1,-1,0,-6,-7,0,-8,9,13
325,14,3,2,4,5,-9,-4,-4,-11,12,9
326,9,6,0,7,9,-9,-6,-6,-10,7,6
327,6,9,1,9,12,-6,-5,-5,-8,6,1
328,1,14,1,13,12,-6,-6,-2,-4,5,-1
329,2,10,2,8,9,0,-8,0,-2,3,0
330,0,10,6,9,12,2,-8,-4,0,2,-3
331,-9,6,4,6,6,4,-14,-2,3,-4,-9
332,-10,4,5,3,5,5,-11,-1,4,-9,-14
333,-13,6,5,8,5,-1,-9,0,1,-11,-8
334,-11,2,4,6,6,-1,-9,-2,-4,-9,-11
335,-13,6,4,10,8,-9,-9,-1,-3,-9,-12
336,-14,4,0,8,7,-8,-8,1,-7,-13,-10
