,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
164,14,-28,-50,-71,-66,-21,-16,-28,14,-183,17,-20,14,-25,-22,-8,-30,-67,-94,-97,-95,5,-65,-78,-25,-28,-68,-24,-35,-71,-75
165,-58,-92,-101,-96,-101,-86,-77,-82,14,-189,22,-9,14,-37,-41,-36,-40,-100,-89,-88,-88,4,-81,-72,-74,-73,-77,-72,-70,-77,-69
166,-84,-89,-76,-51,-56,-88,-83,-75,16,-192,27,9,18,-17,-29,-42,-28,-72,-32,-26,-35,5,-50,-21,-79,-75,-46,-76,-67,-40,-25
167,-55,-21,-3,27,24,-22,-43,-32,17,-198,26,22,18,26,-2,-19,1,-9,38,40,29,3,11,39,-33,-30,19,-35,-23,24,40
168,-7,50,61,73,69,50,7,17,18,-201,27,22,20,43,31,13,34,54,81,84,80,1,70,79,33,33,77,29,38,76,80
169,39,78,75,73,71,78,47,54,20,-202,23,5,17,25,46,40,43,91,86,86,95,0,83,66,79,79,84,74,75,76,67
170,73,64,57,50,47,63,75,77,19,-204,16,-13,15,-5,32,39,28,84,45,41,55,-2,45,14,77,77,39,74,67,32,13
171,76,33,24,6,7,36,68,64,23,-201,13,-26,15,-23,3,15,-4,26,-29,-34,-25,-5,-19,-50,30,27,-24,29,16,-30,-44
172,39,-18,-34,-58,-56,-15,16,0,24,-202,10,-25,11,-25,-24,-15,-30,-51,-87,-88,-90,-7,-73,-85,-36,-35,-66,-31,-42,-68,-75
173,-35,-81,-89,-96,-98,-75,-60,-74,25,-201,-1,-3,10,-18,-39,-38,-42,-95,-88,-87,-94,-6,-83,-70,-84,-78,-72,-76,-76,-69,-62
