,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
199,-6,-7,-12,-2,-6,-6,-6,-4,-6,0,-5,2,-9,-3,-6,-9
200,0,-3,-10,4,-6,-6,-4,0,-7,3,-1,8,-7,0,-3,-3
201,2,-1,-9,7,1,-5,1,3,-7,7,2,10,-5,5,-2,1
202,7,1,-9,11,5,-4,6,6,-7,11,6,12,-5,9,1,5
203,12,9,-5,15,7,-2,8,11,-4,14,9,15,-3,12,2,10
204,11,12,-4,17,11,0,14,13,-4,15,13,16,-2,14,4,14
205,13,13,-1,18,14,3,16,14,-2,15,15,18,2,17,6,14
206,14,16,2,16,13,3,19,13,0,14,17,15,3,16,5,16
207,14,17,5,16,14,1,19,13,2,14,16,10,4,13,5,20
208,14,17,6,14,15,5,19,11,3,12,15,10,3,11,1,17
209,12,15,9,8,13,4,13,10,4,7,11,6,3,8,2,15
210,7,10,6,2,11,5,11,8,4,2,8,2,4,5,1,10
211,5,7,6,-1,2,5,5,0,2,-5,4,-2,3,-3,-2,7
212,-1,2,5,-8,0,2,-2,-6,1,-11,0,-9,2,-9,-2,1
213,-9,-5,4,-15,-5,0,-7,-11,2,-16,-8,-17,-2,-16,-2,-5
214,-13,-10,2,-21,-12,1,-12,-17,-1,-21,-13,-24,-2,-22,-4,-10
215,-18,-17,1,-23,-17,-2,-19,-22,-1,-26,-17,-25,-2,-24,-6,-14
216,-25,-25,1,-27,-24,-2,-22,-26,0,-30,-24,-30,-5,-29,-5,-19
217,-29,-30,-3,-29,-32,-3,-29,-29,0,-32,-25,-34,-6,-31,-5,-26
218,-33,-32,-4,-30,-32,-3,-30,-30,-3,-31,-28,-31,-6,-32,-3,-28
219,-33,-32,-4,-27,-34,-3,-32,-30,-3,-29,-30,-30,-5,-31,-4,-28
220,-30,-35,-4,-22,-29,-3,-33,-27,-4,-28,-28,-27,-3,-27,0,-33
221,-26,-31,-3,-18,-29,-3,-31,-23,-1,-21,-24,-25,-2,-26,2,-31
222,-20,-28,-2,-10,-23,0,-25,-18,1,-13,-23,-17,1,-19,4,-27
223,-13,-22,1,-3,-20,1,-16,-11,2,-5,-17,-9,1,-12,9,-21
224,-7,-12,5,4,-9,5,-11,-4,5,6,-9,-1,6,-1,10,-13
225,0,-3,6,10,-2,8,-2,3,10,15,-1,9,9,6,11,-5
226,11,5,10,20,8,10,9,12,13,22,7,20,11,14,13,3
227,19,13,11,26,16,12,15,22,15,29,14,26,14,22,16,11
228,24,23,14,31,24,14,24,27,14,35,23,30,17,31,16,19
229,29,32,14,33,33,17,32,32,15,39,30,35,19,37,17,28
230,36,37,14,35,36,15,35,36,16,40,34,40,17,37,14,35
231,38,42,14,35,39,18,38,39,14,40,38,40,14,38,14,38
232,41,42,12,36,40,16,39,40,13,39,38,37,14,37,9,40
233,38,40,9,30,39,14,39,36,12,34,38,35,12,36,6,40
234,35,36,6,26,38,9,37,33,9,27,34,31,8,33,3,37
235,29,34,1,16,32,7,31,25,7,21,28,27,4,27,-1,32
236,24,25,-1,9,26,4,24,20,2,14,21,18,3,19,-4,29
237,12,16,-5,0,20,-1,17,11,-1,4,15,10,-3,13,-7,20
238,6,11,-9,-7,11,-5,11,2,-6,-5,7,1,-8,4,-12,13
239,-1,4,-11,-14,4,-9,2,-7,-12,-11,-4,-9,-10,-7,-12,1
240,-9,-7,-13,-22,-6,-13,-10,-15,-13,-18,-13,-16,-11,-16,-14,-4
241,-16,-15,-14,-26,-13,-17,-17,-21,-14,-24,-18,-23,-14,-20,-18,-12
242,-25,-18,-14,-27,-19,-17,-19,-28,-14,-31,-24,-30,-15,-25,-17,-20
243,-30,-24,-14,-29,-28,-17,-24,-30,-15,-31,-27,-32,-16,-33,-15,-27
244,-31,-28,-12,-28,-31,-16,-29,-32,-14,-31,-30,-32,-14,-31,-14,-30
245,-30,-31,-9,-27,-30,-17,-30,-32,-11,-29,-28,-33,-13,-30,-6,-32
246,-28,-31,-7,-22,-32,-12,-28,-31,-7,-26,-28,-29,-12,-30,-3,-35
247,-25,-29,-1,-17,-31,-7,-26,-25,-6,-21,-28,-26,-6,-25,-1,-33
248,-21,-22,3,-11,-25,-2,-25,-22,-4,-16,-23,-21,-4,-21,5,-29
249,-16,-17,10,-10,-21,0,-20,-16,-1,-11,-16,-13,2,-15,9,-24
250,-11,-13,14,-2,-17,5,-13,-8,4,-4,-11,-8,4,-11,12,-18
251,-3,-6,18,5,-9,9,-9,1,10,6,-4,2,8,-3,14,-11
252,5,1,20,9,-1,14,0,5,12,11,1,7,11,5,15,-3
253,11,5,18,12,9,15,5,10,16,16,10,13,14,8,16,3
254,15,13,18,18,15,19,10,17,18,23,16,20,15,14,14,11
255,19,18,17,19,20,17,17,23,18,25,19,24,16,19,12,15
256,21,23,14,19,23,14,20,27,16,23,22,27,14,23,10,21
257,23,22,10,20,24,12,23,26,16,24,25,23,12,24,7,21
258,22,22,4,18,28,8,26,23,12,23,24,24,9,25,1,23
259,21,20,-4,14,26,2,24,23,5,19,22,21,4,24,-7,23
260,17,15,-10,11,24,-4,21,16,1,15,16,17,0,21,-13,23
261,12,11,-16,6,20,-10,18,12,-5,8,13,10,-5,12,-17,21
262,5,7,-23,-4,13,-15,13,6,-11,2,10,5,-13,7,-22,16
263,1,0,-27,-10,7,-18,6,1,-17,-5,2,-1,-19,-1,-28,9
264,-6,-5,-32,-12,1,-24,-2,-6,-22,-11,-2,-8,-24,-7,-31,4
265,-12,-11,-34,-16,-7,-29,-7,-14,-25,-15,-7,-17,-28,-13,-32,-6
266,-15,-15,-35,-22,-13,-29,-12,-18,-27,-18,-11,-20,-32,-19,-32,-10
267,-18,-20,-34,-22,-18,-30,-17,-20,-33,-22,-16,-23,-33,-21,-27,-15
268,-21,-22,-30,-22,-22,-27,-21,-25,-32,-22,-19,-26,-31,-24,-24,-20
269,-26,-22,-26,-21,-25,-25,-22,-25,-30,-23,-24,-24,-27,-21,-17,-23
270,-24,-22,-20,-19,-24,-19,-22,-22,-26,-23,-23,-22,-23,-19,-10,-25
271,-21,-21,-12,-16,-25,-12,-22,-20,-18,-20,-21,-20,-16,-22,-1,-24
272,-16,-18,-3,-12,-23,-3,-23,-19,-13,-15,-18,-14,-8,-16,6,-22
273,-12,-14,7,-6,-16,5,-19,-14,-4,-11,-16,-10,-1,-11,13,-19
274,-11,-7,16,1,-13,11,-12,-6,7,-3,-8,-4,6,-7,22,-14
275,-5,0,25,5,-7,18,-7,-2,15,1,0,0,15,-4,30,-11
276,1,2,32,11,0,26,-1,4,24,6,3,6,19,2,33,-3
277,5,9,36,16,7,31,7,11,30,11,9,12,28,8,36,3
278,12,12,40,20,13,36,10,13,37,16,15,15,33,13,38,6
279,17,15,43,23,16,36,15,17,39,21,19,17,36,16,38,13
280,22,17,44,26,21,37,21,19,39,21,18,19,37,18,36,16
281,19,21,41,24,24,35,22,20,41,22,22,19,38,19,31,19
282,22,21,36,22,25,33,23,21,38,21,22,18,34,18,24,23
283,21,21,30,19,23,27,21,20,33,18,23,18,27,18,15,23
284,18,19,25,15,21,21,19,18,26,16,20,16,24,16,7,22
285,16,13,15,9,20,14,14,16,18,15,16,14,16,14,0,17
286,12,14,7,4,17,7,11,10,9,10,11,9,7,10,-9,16
287,7,7,1,-2,13,-2,7,7,2,7,8,4,-2,7,-14,11
288,4,2,-11,-6,6,-12,2,3,-5,-1,3,0,-7,-1,-20,5
289,-1,-4,-20,-9,2,-17,-1,0,-13,-5,0,-3,-15,-5,-26,0
290,-5,-4,-26,-14,-4,-24,-6,-4,-21,-8,-6,-7,-21,-6,-28,-1
291,-7,-9,-29,-16,-9,-29,-10,-7,-27,-10,-8,-8,-26,-10,-29,-9
292,-11,-13,-33,-18,-9,-30,-12,-11,-28,-11,-15,-11,-30,-13,-28,-9
293,-12,-11,-33,-17,-14,-29,-14,-11,-28,-14,-15,-9,-30,-13,-26,-7
294,-11,-12,-32,-14,-13,-27,-13,-12,-31,-11,-16,-7,-30,-11,-21,-12
295,-11,-11,-28,-13,-13,-29,-12,-9,-30,-9,-17,-4,-29,-10,-18,-12
296,-10,-9,-25,-9,-12,-23,-12,-7,-27,-6,-14,-4,-22,-7,-11,-8
297,-5,-7,-21,-4,-9,-17,-8,-8,-21,-3,-10,0,-18,-7,-4,-7
298,-1,-1,-12,0,-8,-11,-3,-2,-13,2,-6,0,-13,-2,0,-5
299,2,2,-6,5,-4,-3,-1,0,-8,5,-2,4,-5,3,8,0
300,5,5,2,10,1,5,3,3,0,7,2,6,4,4,14,2
301,10,8,8,12,4,11,5,6,8,8,5,7,10,8,18,3
302,13,11,14,15,4,16,9,9,14,13,7,8,17,9,20,6
303,16,14,20,16,10,19,14,11,19,16,10,10,20,10,21,11
304,17,14,22,19,14,24,12,12,21,15,12,10,21,13,19,13
305,14,15,24,17,15,25,14,14,24,13,13,12,25,14,19,15
306,12,14,27,17,15,25,17,14,24,11,17,10,22,12,18,17
307,12,12,24,13,15,24,15,13,22,7,15,6,20,8,14,15
308,10,10,23,9,13,20,13,8,19,5,15,6,18,7,11,13
309,4,5,15,6,9,16,9,4,15,1,14,4,15,5,6,11
310,-1,0,10,1,5,8,3,2,10,-2,9,1,6,0,-2,6
311,-6,-2,5,-6,-1,1,0,-4,5,-7,2,-4,1,-3,-8,5
312,-11,-10,-2,-8,-6,-5,-3,-8,1,-13,-4,-8,-6,-7,-16,1
313,-16,-13,-10,-15,-8,-12,-8,-9,-5,-16,-10,-11,-12,-12,-20,-5
314,-19,-15,-17,-18,-12,-18,-12,-13,-13,-20,-14,-17,-16,-16,-23,-10
315,-22,-16,-18,-19,-14,-23,-16,-18,-16,-20,-21,-18,-22,-19,-26,-13
316,-23,-19,-20,-20,-19,-24,-18,-18,-20,-22,-24,-21,-25,-20,-24,-18
317,-24,-21,-24,-22,-19,-26,-22,-18,-23,-22,-25,-20,-26,-23,-27,-21
318,-23,-23,-23,-18,-19,-26,-20,-20,-22,-19,-24,-20,-26,-22,-23,-22
319,-23,-23,-18,-17,-19,-24,-20,-17,-22,-17,-25,-19,-23,-21,-18,-25
320,-20,-19,-17,-16,-20,-21,-17,-15,-21,-15,-24,-16,-17,-17,-12,-23
321,-13,-15,-14,-11,-15,-17,-16,-14,-17,-11,-17,-13,-15,-16,-8,-24
322,-11,-13,-7,-7,-14,-10,-12,-11,-11,-5,-13,-9,-11,-10,-4,-16
323,-5,-7,-2,-2,-9,-3,-8,-6,-7,-1,-8,-4,-3,-5,5,-11
324,0,-4,2,3,-4,2,-3,-1,2,2,-5,0,5,-2,12,-8
325,7,4,9,6,-3,9,1,4,8,8,-1,4,9,5,18,-2
326,12,7,15,10,6,14,6,7,13,13,1,11,14,8,22,3
327,13,10,19,13,8,18,9,10,18,15,8,11,17,11,23,7
328,17,14,20,15,13,18,11,14,20,16,12,15,22,14,22,11
329,19,16,21,16,16,22,14,16,20,15,14,16,22,15,24,13
330,20,18,21,15,16,23,16,17,21,16,15,20,22,17,21,15
331,22,23,18,16,19,22,19,17,21,15,17,18,20,18,17,15
332,23,21,14,14,18,22,18,17,17,13,15,17,20,20,14,13
333,17,17,10,12,15,16,16,15,15,13,14,17,16,16,10,16
334,15,17,9,11,16,13,15,13,12,11,11,14,13,15,7,15
