,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
175,-10,17,7,-11,-7,-14,-13,-8,-13,-11,-6,-6,-11,2,-11,-4,-12,-8,-12,-5
176,-13,19,3,-12,-10,-14,-12,-8,-14,-11,-10,-7,-14,-4,-11,-7,-13,-10,-11,-5
177,-12,15,2,-13,-6,-14,-11,-8,-13,-8,-13,-8,-16,-6,-13,-7,-12,-15,-10,-10
178,-12,15,1,-9,-7,-15,-11,-10,-9,-6,-14,-7,-16,-10,-11,-11,-11,-14,-9,-11
179,-9,14,-1,-11,-5,-11,-8,-8,-5,-8,-18,-7,-18,-12,-10,-10,-9,-18,-6,-13
180,-9,13,-4,-5,-6,-8,-6,-6,-5,-2,-19,-5,-19,-14,-10,-15,-4,-19,-3,-16
181,-9,11,-6,-1,-3,-5,-3,-3,-1,-2,-20,-5,-19,-17,-8,-13,0,-17,0,-18
182,-9,9,-7,1,0,-1,-2,-4,3,1,-18,-3,-16,-16,-4,-13,2,-16,2,-16
183,-2,7,-9,3,-1,0,3,-4,0,4,-18,-1,-14,-16,-2,-15,8,-15,4,-16
184,-1,1,-8,5,1,3,4,-2,4,8,-13,-1,-12,-17,2,-13,7,-12,6,-15
185,1,0,-9,6,1,4,5,-2,6,7,-12,0,-11,-12,2,-15,10,-10,9,-14
186,4,-4,-9,8,0,6,7,1,8,8,-11,2,-7,-11,4,-13,11,-6,9,-11
187,5,-6,-9,10,1,10,9,2,8,10,-7,2,-3,-7,7,-10,11,-6,10,-8
188,7,-5,-9,11,3,12,10,5,11,11,-2,3,1,-5,7,-12,11,-1,11,-6
189,8,-4,-7,11,3,14,11,6,12,9,3,3,4,-2,9,-6,8,0,10,-3
190,9,-5,-6,12,4,18,15,4,12,12,6,4,4,2,11,-5,10,3,10,0
191,9,-10,-8,13,3,17,14,4,12,13,8,3,7,6,12,-2,9,6,11,2
192,10,-9,-8,13,2,16,14,5,11,11,11,1,11,8,12,0,9,8,12,6
193,11,-11,-5,12,0,15,14,3,12,12,13,0,10,8,13,1,8,10,12,6
194,11,-11,-5,10,0,15,12,2,12,10,13,-2,12,10,15,3,5,13,10,8
195,11,-11,-5,11,-1,13,9,2,12,9,13,1,12,12,14,4,0,11,7,9
196,9,-10,-3,7,-2,10,8,1,10,5,14,1,10,12,11,5,3,11,6,7
197,7,-11,-4,7,-2,10,7,0,6,6,14,1,10,11,13,6,3,10,4,9
198,8,-11,-2,5,1,6,7,-2,4,2,8,-1,11,9,11,8,3,8,4,9
199,5,-11,-4,2,2,3,5,-1,1,1,6,0,10,10,6,6,-1,8,-1,9
200,4,-11,-5,0,2,1,-1,-1,-1,-1,6,2,7,10,5,9,-2,8,-2,9
201,2,-11,-3,-3,4,-1,-3,-1,-1,0,4,5,7,9,5,9,-6,8,-4,6
202,0,-10,-2,-4,4,-4,-2,1,-2,-4,4,6,7,6,2,10,-6,5,-4,5
203,-1,-9,-3,-4,3,-8,-7,2,-4,-7,3,7,6,4,-2,9,-5,4,-7,5
204,0,-7,-4,-6,4,-8,-8,4,-3,-7,3,8,2,3,-5,8,-3,3,-7,5
205,-2,-7,-4,-6,5,-9,-6,5,-4,-5,-1,7,3,6,-7,6,-5,3,-5,5
206,-3,-7,-1,-5,5,-10,-3,5,-3,-5,-1,10,1,3,-9,7,-6,1,-4,5
207,-5,-7,-2,-6,5,-7,-4,5,-1,-4,0,9,-1,-1,-9,6,-5,1,-4,3
208,-4,-5,0,-6,5,-9,-6,9,0,-4,-3,9,-1,1,-9,4,-1,1,-3,3
209,-4,-4,2,-3,4,-9,-3,7,-3,-4,-1,7,-1,-1,-6,7,-2,2,-1,2
210,-3,-4,0,-1,5,-6,-2,7,0,-4,0,6,-2,0,-5,4,0,-1,-3,1
211,-3,-5,3,-1,7,-2,-2,8,-1,-1,-3,5,0,0,-5,1,3,1,-1,2
212,-2,-5,2,-3,5,-1,-3,5,1,2,-2,4,0,0,-2,2,2,1,-2,2
213,-3,-6,3,-1,0,1,-4,4,-1,0,2,1,-1,-1,-2,2,1,3,-2,-1
214,-5,-5,3,-1,3,1,-5,3,0,1,2,0,1,-1,1,0,2,1,-4,0
215,-5,-4,1,-1,1,4,-5,3,-3,1,3,-1,0,0,1,4,1,1,-3,2
216,-4,-2,3,-1,-1,1,-4,0,-5,0,3,-2,1,-1,-1,4,1,2,-5,1
217,-4,-2,4,-2,-1,-1,-4,-1,-7,0,3,-3,0,1,0,4,-1,4,-7,3
218,-4,0,4,-5,-4,-3,-8,-3,-9,-2,6,-5,-1,3,-1,5,-3,1,-10,3
219,-6,2,5,-6,-2,-2,-8,-5,-8,0,5,-5,2,5,-2,3,-5,3,-11,4
220,-7,4,6,-6,-6,-2,-9,-7,-9,-4,5,-7,0,6,-4,6,-6,4,-9,2
221,-7,3,5,-8,-7,-5,-9,-8,-8,-5,6,-7,2,5,-6,4,-6,2,-8,4
222,-6,7,6,-9,-6,-6,-8,-7,-6,-6,7,-11,2,3,-3,3,-5,1,-6,4
223,-6,8,5,-7,-8,-5,-7,-7,-6,-8,3,-11,2,2,-5,1,-8,1,-6,4
224,-8,8,7,-5,-8,-6,-6,-8,-6,-9,2,-10,0,2,-7,0,-7,-2,-3,2
225,-8,10,8,-3,-10,-5,-3,-9,-2,-7,3,-11,-1,1,-9,1,-6,-4,-1,-1
226,-7,13,7,0,-9,-5,-2,-8,0,-5,1,-10,-3,0,-7,-1,-3,-7,-1,-1
227,-4,14,9,0,-8,-5,1,-8,0,-5,-1,-9,-3,-2,-8,-4,1,-8,1,-2
228,-2,15,8,0,-8,-2,4,-6,4,-1,-1,-9,-3,-3,-5,-5,1,-6,5,-4
229,-3,17,10,4,-4,-1,6,-5,8,-1,-4,-5,-5,-4,-3,-5,1,-4,6,-4
230,-1,17,12,7,-2,2,6,-6,5,-1,-4,-5,-6,-5,-1,-4,1,-6,6,-7
231,0,13,10,8,-2,6,8,-5,8,2,-5,-1,-7,-8,-1,-8,3,-6,9,-8
232,2,14,10,9,4,7,8,-1,9,2,-6,3,-7,-7,-1,-6,4,-6,8,-9
233,4,14,11,8,5,9,8,4,12,5,-6,3,-6,-8,1,-7,6,-6,9,-8
234,6,14,10,7,9,8,10,4,13,6,-7,10,-5,-8,3,-5,6,-6,9,-8
235,7,11,8,9,9,11,9,8,12,5,-8,8,-6,-5,6,-6,9,-7,10,-9
236,6,12,9,7,8,8,9,12,11,8,-8,10,-3,-3,5,-5,7,-3,9,-7
237,7,11,6,7,8,7,8,10,10,9,-5,11,-2,-6,5,-6,5,-3,10,-4
238,8,9,3,7,9,8,9,13,12,8,-2,12,0,-3,8,-6,7,-3,9,-3
239,9,9,1,7,6,9,8,10,11,8,-4,9,-1,-4,7,-4,7,-2,9,-3
240,8,6,-1,7,4,9,8,9,9,10,-3,8,-2,-3,8,-5,7,0,8,-1
241,8,7,-3,8,5,7,8,7,7,9,-2,5,-1,0,10,-2,6,2,8,1
242,10,3,-5,10,3,9,8,7,4,9,-1,2,1,1,10,-1,7,-1,10,-1
243,10,2,-7,7,3,7,6,3,2,8,0,1,1,0,11,-1,9,0,9,2
244,9,0,-9,8,0,8,7,-2,1,11,0,-2,-3,0,11,-1,7,2,7,1
245,8,-1,-7,7,-1,6,7,-4,0,9,-1,-2,0,3,11,0,6,2,6,2
246,9,-2,-10,5,-2,5,7,-9,-3,5,1,-3,0,1,10,2,6,1,4,2
247,8,-2,-10,4,-4,4,4,-7,-3,5,1,-5,3,-1,10,0,7,-2,1,4
248,8,-1,-11,1,-4,3,5,-8,-4,7,1,-6,1,0,8,1,2,-1,-2,1
249,5,-5,-7,3,-5,0,2,-10,-4,3,2,-6,1,-1,6,2,3,2,-2,1
250,4,-4,-5,-2,-3,-2,0,-6,-6,-1,1,-2,3,-2,6,1,0,4,-4,2
251,3,-3,-7,-1,-4,-2,-3,-6,-7,0,1,0,3,-1,5,1,0,3,-6,2
252,0,-8,-6,-4,0,-2,-5,-9,-8,-3,2,2,2,0,2,3,-1,2,-4,1
253,1,-11,-5,-5,1,-4,-5,-5,-9,-5,4,0,3,1,-1,2,-5,2,-7,1
254,-2,-11,-5,-5,2,-5,-6,-2,-9,-5,4,1,4,1,-3,2,-5,5,-8,3
255,-3,-11,-6,-8,3,-6,-8,-1,-10,-8,8,5,6,0,-3,3,-4,6,-5,3
256,-4,-13,-4,-7,5,-6,-7,3,-9,-9,9,5,5,2,-5,3,-7,6,-5,2
257,-7,-14,-4,-7,6,-6,-8,5,-8,-10,5,6,7,3,-5,5,-7,5,-7,5
258,-8,-12,-2,-7,6,-8,-6,7,-11,-6,8,7,9,5,-8,5,-8,6,-8,5
259,-9,-15,-1,-5,7,-6,-5,8,-8,-7,8,5,9,8,-9,6,-8,10,-6,4
260,-9,-16,-3,-4,7,-7,-5,12,-7,-6,7,5,9,9,-8,6,-7,9,-7,4
261,-9,-15,-5,-7,12,-5,-5,11,-6,-5,10,8,8,8,-7,5,-8,9,-5,7
262,-8,-14,-6,-7,9,-5,-5,13,-5,-8,9,10,8,9,-7,7,-5,7,-3,7
263,-6,-13,-4,-5,10,-5,-3,10,-2,-7,8,9,7,9,-7,8,-5,8,0,8
264,-7,-12,-5,-5,12,-5,-2,11,-1,-4,9,10,6,11,-8,9,-4,7,-2,8
265,-7,-10,-4,-4,9,-4,-2,10,-2,-3,9,8,5,9,-7,8,-3,7,-1,8
266,-6,-8,-2,-4,8,-4,-1,7,-2,-2,10,8,5,8,-4,9,-3,5,0,6
267,-6,-7,1,-1,6,-4,-1,9,3,-1,5,8,2,9,-1,7,-2,5,0,4
268,-3,-2,3,0,4,2,1,6,1,1,2,3,2,8,-5,7,-5,2,-2,6
