,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
88,11,15,22,19,20,14,10,10,18,19,8,11,18,12,12,23,15,13,14,17,3,18,13,16,21,24,16,15
89,15,20,21,23,18,19,13,17,20,21,12,15,21,15,16,25,19,16,18,20,0,22,17,18,19,26,17,19
90,17,21,21,25,23,20,8,19,23,23,18,18,25,19,19,24,22,20,23,18,-1,25,22,23,22,26,21,20
91,20,22,21,25,23,24,5,24,23,23,21,21,22,22,23,23,24,26,24,14,1,25,22,25,19,23,22,25
92,22,24,19,26,23,24,6,27,26,22,23,23,22,22,23,23,24,25,23,12,2,26,25,24,19,23,24,27
93,21,25,14,22,22,22,7,25,24,17,25,25,21,23,24,20,23,25,23,7,1,21,27,26,13,18,23,26
94,19,22,9,18,19,21,5,25,23,15,25,20,21,24,23,14,24,25,23,5,2,20,27,22,8,14,22,26
95,21,18,3,12,15,18,4,18,19,14,23,17,15,22,19,10,18,20,21,4,3,17,22,21,1,6,18,24
96,18,13,0,7,9,12,4,18,12,6,21,13,11,19,17,3,17,17,14,-2,0,12,20,15,-4,1,14,18
97,12,6,-5,1,5,7,4,14,7,1,17,13,6,13,12,-4,8,12,13,-4,2,8,17,9,-9,-8,10,15
98,6,4,-11,-4,2,2,0,6,4,-5,12,7,-1,8,7,-8,2,7,9,-7,0,0,12,3,-14,-16,5,11
99,0,-1,-16,-12,-5,-2,0,2,-5,-12,8,1,-6,4,2,-13,-5,1,1,-9,-3,-6,6,-3,-19,-19,1,4
100,-4,-6,-22,-15,-9,-11,0,-6,-12,-21,2,-3,-11,-2,-3,-20,-13,-6,-5,-12,-3,-11,0,-8,-22,-25,-6,-3
101,-11,-15,-22,-19,-15,-17,-1,-13,-13,-21,-4,-9,-19,-11,-10,-22,-16,-12,-10,-14,-5,-15,-6,-15,-26,-28,-13,-12
102,-16,-19,-23,-23,-21,-17,-3,-19,-19,-27,-9,-11,-21,-14,-16,-25,-20,-17,-18,-12,-6,-21,-12,-19,-27,-31,-21,-16
103,-21,-24,-23,-26,-23,-20,-3,-25,-23,-28,-18,-15,-25,-18,-21,-27,-24,-21,-23,-11,-6,-25,-17,-21,-26,-31,-23,-22
104,-24,-27,-22,-30,-25,-27,-4,-28,-25,-29,-22,-20,-26,-23,-26,-26,-28,-25,-25,-14,-4,-25,-19,-28,-23,-28,-26,-26
105,-24,-25,-20,-26,-27,-27,-2,-30,-28,-25,-26,-23,-29,-26,-27,-25,-27,-29,-27,-12,-6,-27,-25,-30,-21,-25,-28,-27
106,-26,-26,-17,-25,-25,-28,-3,-31,-28,-22,-27,-26,-28,-26,-30,-24,-31,-31,-29,-9,-6,-26,-30,-31,-20,-20,-29,-30
107,-23,-25,-13,-23,-20,-27,-1,-31,-27,-20,-29,-25,-24,-26,-30,-19,-28,-29,-25,-7,-7,-24,-26,-29,-13,-13,-27,-31
108,-22,-22,-8,-15,-16,-22,0,-28,-28,-15,-29,-27,-22,-27,-28,-12,-23,-26,-24,-6,-8,-21,-25,-28,-7,-7,-25,-27
109,-17,-19,-2,-11,-11,-14,0,-22,-21,-6,-25,-24,-16,-24,-26,-5,-18,-22,-22,-2,-5,-16,-23,-22,2,-3,-21,-23
110,-15,-16,4,-5,-6,-10,0,-16,-17,0,-22,-19,-11,-18,-21,2,-13,-19,-16,2,-3,-11,-21,-15,8,5,-13,-20
111,-9,-7,10,4,0,-1,-1,-13,-10,7,-17,-14,-4,-13,-15,9,-6,-12,-13,4,-2,-2,-15,-10,17,13,-8,-13
112,-2,0,17,9,8,3,-1,-4,-3,12,-12,-7,3,-8,-8,14,2,-2,-7,5,-1,5,-7,-5,21,21,-4,-5
113,4,7,23,15,12,13,-1,1,4,19,-2,0,11,0,-2,19,9,4,0,4,0,13,0,3,24,27,7,1
114,10,12,27,21,21,19,0,8,10,22,5,7,16,8,5,24,14,13,9,6,3,18,6,9,29,30,13,8
115,16,21,29,25,24,22,1,16,16,26,9,15,22,15,15,29,21,18,17,7,4,23,12,18,32,32,21,18
116,23,23,31,30,27,26,3,22,21,30,17,20,28,20,18,31,26,27,20,8,4,27,20,21,31,32,26,24
117,25,28,31,30,30,32,2,25,25,30,24,23,31,25,24,31,30,31,27,8,8,31,25,29,34,34,32,28
118,29,30,28,29,30,32,5,30,30,30,29,27,33,27,27,30,31,33,31,7,9,33,28,33,26,33,32,31
119,31,31,24,30,30,33,5,31,32,28,35,31,34,30,33,30,32,35,30,7,11,33,33,33,26,29,32,34
120,31,32,18,28,27,32,5,35,30,25,35,29,33,30,34,25,31,32,32,5,10,31,35,31,22,22,33,33
121,30,31,13,23,24,25,3,32,29,20,35,30,32,28,31,19,27,33,30,5,11,29,33,33,16,16,31,32
122,26,26,8,18,18,20,0,28,26,15,33,27,29,27,28,12,22,31,28,1,13,22,30,31,11,12,29,30
123,21,20,-1,13,14,17,2,25,20,9,32,23,22,22,27,4,17,25,22,0,12,14,28,27,6,5,22,26
124,15,14,-10,7,6,13,-1,19,15,1,25,19,16,17,22,-2,11,18,16,-1,12,8,21,20,-3,-2,15,21
125,10,10,-16,2,-2,4,-3,15,11,-4,19,11,8,10,14,-12,6,12,11,-1,11,0,14,13,-13,-12,10,16
126,4,3,-21,-6,-10,-2,-6,6,7,-11,13,5,1,5,9,-20,-1,6,5,-2,7,-6,8,7,-18,-17,4,9
127,-2,-3,-27,-11,-18,-5,-8,1,-3,-17,5,-2,-5,-2,-1,-26,-8,-1,-3,-4,6,-16,1,-1,-23,-23,-5,1
128,-8,-10,-32,-17,-23,-12,-8,-7,-8,-24,0,-7,-13,-10,-8,-32,-16,-8,-10,-7,5,-21,-8,-9,-26,-26,-13,-6
129,-14,-14,-34,-21,-28,-18,-8,-12,-15,-26,-8,-16,-19,-18,-13,-35,-21,-15,-16,-6,6,-25,-16,-17,-30,-29,-21,-15
130,-17,-21,-36,-24,-32,-23,-9,-16,-20,-29,-12,-21,-24,-21,-21,-39,-25,-20,-22,-5,3,-31,-20,-21,-32,-32,-25,-21
131,-22,-24,-39,-27,-33,-25,-8,-22,-25,-31,-21,-24,-29,-25,-25,-40,-27,-25,-26,-6,0,-34,-24,-28,-32,-34,-29,-26
