,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
86,-7,28,51,24,45,9,51,33,51,47,37,51,28,48,48,49,47,51,-10,47,28,11,18,-6,47,48,18,13,48,48,50,24,49,48,48,33,22,31,45,48,32,51
87,-2,17,50,15,43,5,52,26,48,49,31,49,22,46,46,50,45,47,-7,50,20,8,6,-6,43,48,11,15,47,45,48,16,51,49,47,28,17,27,49,44,26,48
88,1,7,49,8,39,-3,48,20,43,46,23,45,11,37,47,46,44,41,0,49,12,9,1,-9,36,50,3,9,45,39,44,8,48,44,46,19,7,18,49,38,18,46
89,1,-1,43,0,29,-13,44,10,36,39,16,39,3,32,41,45,36,39,4,49,2,6,-9,-3,27,44,-5,5,38,34,36,1,44,37,43,11,0,10,47,33,6,46
90,4,-8,37,-7,19,-22,36,3,29,35,7,30,-3,24,35,40,30,34,4,42,-3,1,-16,1,18,38,-12,3,31,23,30,-9,39,33,39,3,-7,4,41,28,1,38
91,8,-14,26,-17,11,-26,29,-4,16,27,-3,19,-12,14,26,32,26,25,10,36,-10,-2,-22,2,6,32,-23,-6,19,15,21,-16,33,23,30,-2,-15,-6,35,19,-5,30
92,12,-22,15,-22,-2,-29,19,-12,7,16,-11,10,-20,1,17,22,13,14,11,26,-18,-6,-31,3,-2,22,-26,-10,8,4,11,-23,22,11,23,-12,-24,-12,29,8,-17,22
93,10,-27,7,-27,-12,-39,8,-21,-5,4,-20,-3,-28,-8,8,12,3,4,15,15,-29,-10,-33,6,-16,13,-30,-15,-3,-6,-1,-29,14,0,13,-21,-30,-17,15,-2,-25,13
94,8,-33,-5,-34,-21,-42,-6,-26,-15,-5,-26,-13,-32,-21,-2,3,-5,-7,11,5,-34,-14,-37,9,-25,1,-37,-19,-13,-15,-14,-34,4,-8,4,-26,-35,-26,6,-12,-29,2
95,10,-40,-17,-37,-33,-43,-15,-30,-26,-15,-35,-22,-37,-31,-14,-8,-16,-19,9,-8,-36,-16,-42,10,-34,-9,-41,-19,-23,-27,-22,-37,-8,-17,-7,-35,-40,-29,-3,-24,-33,-10
96,12,-44,-23,-42,-41,-44,-26,-36,-37,-29,-36,-35,-42,-40,-23,-20,-29,-26,12,-20,-44,-18,-43,9,-41,-19,-45,-21,-34,-35,-32,-40,-21,-29,-20,-38,-44,-34,-11,-35,-39,-22
97,7,-42,-37,-43,-46,-39,-36,-41,-40,-34,-41,-43,-42,-44,-33,-29,-37,-34,10,-31,-45,-17,-44,9,-45,-30,-43,-18,-42,-41,-40,-42,-32,-36,-26,-42,-43,-37,-24,-41,-43,-33
