,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
134,-2,0,-2,-9,-4,1,1,2,-14,4,-4,-2,0,8,1,-18,3,1,-13,-1,0
135,4,4,4,-1,-1,6,6,7,-3,7,0,-2,2,11,6,-7,4,2,-5,3,4
136,10,8,6,3,0,11,10,12,-1,13,6,1,8,13,10,-2,9,5,1,8,10
137,13,9,13,7,-1,14,14,17,4,16,10,-2,11,19,13,2,14,8,5,8,15
138,12,14,17,12,3,15,12,17,7,12,13,-4,15,17,16,9,14,13,10,14,16
139,13,15,12,15,0,12,10,15,12,10,14,-4,16,15,15,12,16,9,13,13,15
140,9,10,10,16,0,14,8,11,13,5,9,-3,11,10,12,14,10,5,18,10,12
141,7,8,7,14,2,6,7,8,10,8,6,-1,8,9,5,9,8,3,15,7,10
142,9,9,9,6,0,5,6,8,5,10,6,-5,7,11,9,10,9,5,11,7,13
143,9,8,10,7,3,5,4,5,8,5,9,-3,7,7,8,10,10,4,9,8,7
144,3,4,6,10,0,0,4,5,6,5,6,2,6,8,4,11,10,2,9,6,5
145,6,5,9,8,0,-1,4,-1,7,6,3,3,2,7,6,11,4,7,10,6,6
146,7,4,7,6,2,1,9,4,3,9,7,5,5,10,2,7,7,6,5,10,9
147,8,8,9,4,3,3,10,6,3,10,8,6,4,7,8,9,11,8,5,13,12
148,10,7,9,9,5,6,4,5,5,9,9,12,6,8,5,10,7,9,7,12,7
149,9,11,7,9,3,4,9,5,8,9,9,14,5,9,5,11,6,7,7,10,7
150,8,9,7,7,7,5,7,4,9,8,7,14,4,5,3,12,3,9,7,11,5
151,6,6,5,7,10,5,6,4,3,9,6,15,6,7,2,10,5,8,6,8,3
152,5,8,4,4,12,4,5,2,4,3,2,13,2,6,3,11,2,8,5,6,3
153,3,2,1,3,12,3,0,0,7,1,4,16,4,2,0,8,2,3,3,6,0
154,3,2,1,-2,10,3,3,0,3,1,1,15,2,2,0,4,5,3,3,1,2
155,2,0,1,-1,11,5,1,-4,5,-1,-1,13,1,-1,-1,3,-2,4,1,1,-1
156,0,0,-2,-3,9,3,6,1,1,0,-1,10,3,1,-1,-1,2,1,-1,-2,-1
157,1,2,2,-7,8,5,5,-2,1,1,-1,5,0,2,-1,-1,0,2,0,-1,3
158,0,-1,2,-4,6,5,3,2,2,3,4,8,2,2,1,0,1,1,0,1,4
159,-2,2,1,-3,1,5,6,-1,2,0,2,3,2,4,2,2,1,2,0,-1,3
160,1,1,1,-2,4,4,4,-3,3,0,2,-5,5,-1,3,0,0,1,4,3,4
161,3,5,1,-1,2,3,6,4,4,1,5,-5,7,3,6,-3,2,3,1,4,7
162,3,4,2,3,0,7,3,5,5,2,2,-6,7,0,8,1,0,4,0,5,1
163,2,0,-2,6,-3,5,2,4,4,3,5,-6,9,-1,4,0,-1,2,5,3,1
164,0,5,-3,2,-7,1,1,0,3,0,3,-14,2,1,6,1,0,-1,3,-1,0
165,-1,2,-4,4,-7,3,-3,-3,5,-4,1,-16,1,-7,5,-1,-2,-3,4,1,-5
166,-6,-4,-6,4,-8,-2,-5,-2,2,-6,-1,-16,-3,-8,-1,-3,-5,-7,1,-6,-7
167,-7,-6,-6,0,-12,-6,-5,-7,-1,-8,-4,-19,-8,-7,-3,-3,-7,-8,0,-8,-10
168,-7,-4,-9,-2,-12,-7,-6,-3,-6,-6,-3,-18,-5,-7,-8,-10,-4,-11,-6,-7,-6
169,-7,-7,-7,-3,-14,-5,-7,-4,-10,-4,-7,-18,-7,-9,-5,-7,-6,-7,-5,-9,-9
170,-7,-9,-8,-1,-13,-5,-10,-5,-7,-5,-6,-20,-9,-9,-13,-8,-6,-6,-4,-11,-12
171,-9,-9,-10,-4,-14,-8,-6,-4,-11,0,-6,-14,-9,-5,-12,-10,-5,-8,-7,-12,-7
172,-2,-7,-4,-3,-12,-4,-3,0,-12,5,-7,-11,-5,2,-6,-10,-4,-3,-8,-6,-3
173,1,-2,-1,1,-7,0,-1,2,-9,5,-2,-5,1,1,-2,-8,0,0,-7,-3,1
174,0,-1,-1,2,-6,-1,-2,0,-5,1,-1,-4,-1,-1,-3,-1,1,2,-3,-3,0
175,-1,-3,-1,3,-5,0,-5,-2,0,1,-2,1,-4,-2,-5,1,0,-1,-1,-2,-2
176,-4,-2,-4,0,-1,-2,-3,-1,-2,-1,-6,5,-4,0,-5,-2,0,-3,-1,-4,-2
177,-1,-1,-1,-1,4,-1,-4,-1,-1,-5,-4,5,-3,0,-5,-3,-3,-1,1,-3,-4
178,-4,-2,-4,-1,8,-1,-2,2,-3,-2,-1,8,-1,1,-8,-2,-1,-2,2,-2,-2
179,0,-3,-1,-3,6,-2,1,-1,-2,-3,-5,10,-3,0,-4,0,-3,-1,2,-2,1
180,-2,-6,1,0,10,-2,-2,-2,0,-3,-5,9,-2,-3,-6,-2,-3,-1,4,-4,-4
181,-6,-2,-3,-3,5,-9,0,-1,-3,-3,-5,8,-5,-3,-5,-3,-3,-4,2,-5,-2
182,-4,-6,-2,-6,10,-8,-3,-3,-3,-5,-5,8,-6,-2,-2,-2,-2,0,2,-3,-5
183,-5,-6,2,-6,10,-8,2,-1,-7,-2,-3,8,-5,-3,-2,-3,-1,-3,-5,-3,-3
184,-1,-2,1,-7,5,-7,0,-3,-7,-1,-2,4,-4,-1,-1,-2,-3,0,-2,-3,-3
185,0,-4,-1,-3,4,-4,-2,-4,-3,-3,-1,5,-2,-2,0,-2,-1,1,-4,0,-2
186,-3,0,0,-2,1,-4,-1,-4,-3,-5,1,2,-4,-3,3,0,0,3,-7,-2,-3
187,-3,-2,-1,-3,-1,-5,-3,-6,1,-9,-1,0,-4,-4,1,0,-4,1,-3,-2,-8
188,-6,-4,-6,-3,-2,-7,-5,-5,-4,-4,-1,4,-4,-3,-3,-2,-5,-3,-6,-5,-5
189,-4,-2,-4,-5,0,-6,-3,-6,-5,-5,-2,-1,-7,-5,-1,-1,-8,-1,-7,-5,-5
190,-4,-3,-2,-5,-2,-5,-4,-3,-3,-2,-2,2,-2,-7,-1,1,-3,-3,-8,-3,-4
191,-5,-1,-5,-5,-3,-6,-4,-7,-4,-4,-1,-1,-2,-4,1,1,-4,-3,-6,-5,-4
192,-3,0,-4,-5,0,-3,-4,-8,0,-3,-3,-2,-2,-3,-3,-1,-6,-4,-7,-2,-5
193,-5,1,-4,-5,-3,-4,1,-2,-4,2,-4,-3,-2,1,0,-2,0,-3,-10,-1,2
194,3,3,2,-5,-5,2,3,1,-3,5,-2,-2,3,4,7,-1,4,5,-6,2,3
195,4,6,1,3,-4,7,3,3,2,6,4,1,9,5,9,-1,5,4,-1,6,4
196,6,8,2,1,-2,7,8,6,10,3,5,3,5,8,8,4,6,3,2,4,11
197,8,8,6,6,2,8,11,13,12,10,6,8,10,9,9,3,10,7,7,8,10
198,13,12,11,7,1,12,15,16,9,16,10,13,16,19,16,2,14,10,6,13,19
199,17,17,16,10,6,17,16,14,17,13,13,15,16,17,18,10,15,16,9,17,18
200,15,17,17,16,13,17,15,19,21,14,17,18,18,14,17,10,17,12,14,16,17
201,14,15,17,15,13,14,16,17,20,16,15,16,14,17,18,16,15,13,19,13,19
202,17,13,17,18,13,16,16,19,18,17,14,16,20,19,14,15,16,17,19,15,19
203,16,14,15,16,13,16,18,18,16,16,16,11,15,18,17,13,19,15,15,16,19
204,14,15,15,19,14,16,12,12,19,10,15,7,14,12,14,18,14,14,20,14,13
205,9,9,10,17,14,11,7,10,18,10,11,8,13,8,9,17,11,6,18,9,9
206,6,7,7,12,9,6,5,7,12,6,5,6,5,7,9,17,5,7,14,6,9
207,5,5,6,10,8,5,3,7,10,6,8,3,5,4,3,11,5,5,12,5,6
208,3,5,3,7,6,2,2,4,4,6,4,-4,3,3,5,10,6,3,5,4,4
209,3,4,0,6,6,2,-5,-3,4,-1,0,-5,1,-1,-1,10,-3,1,6,1,-5
210,-3,-2,-6,5,0,-3,-7,-3,-1,-3,-5,-4,-8,-4,-6,4,-6,-5,2,-5,-8
211,-5,-5,-7,-3,-7,-8,-6,-8,-4,-6,-8,-6,-9,-7,-7,1,-7,-5,-3,-6,-7
212,-6,-9,-8,-5,0,-5,-9,-8,-5,-8,-7,-4,-7,-10,-13,-3,-8,-7,-6,-6,-10
213,-8,-8,-11,-7,-3,-11,-11,-14,-8,-11,-10,-10,-13,-13,-13,-5,-12,-12,-8,-10,-9
214,-12,-12,-13,-12,-6,-14,-17,-16,-10,-16,-11,-8,-16,-19,-16,-10,-16,-11,-6,-10,-17
215,-16,-14,-19,-13,-7,-18,-14,-15,-15,-15,-15,-3,-18,-19,-19,-15,-15,-15,-12,-13,-15
216,-15,-16,-17,-17,-5,-18,-17,-18,-16,-19,-19,-6,-18,-21,-19,-16,-19,-15,-14,-18,-17
217,-19,-19,-17,-15,-2,-16,-16,-16,-15,-19,-19,-8,-18,-24,-21,-22,-18,-19,-17,-15,-19
218,-21,-17,-18,-20,-6,-21,-15,-17,-16,-20,-19,-12,-19,-19,-20,-22,-16,-19,-19,-16,-19
219,-17,-19,-12,-22,-5,-16,-14,-17,-16,-19,-17,-11,-20,-18,-17,-23,-17,-17,-18,-13,-22
220,-16,-17,-16,-20,-7,-15,-12,-14,-17,-13,-15,-12,-17,-12,-15,-23,-12,-17,-18,-15,-18
221,-14,-10,-11,-19,-14,-11,-12,-13,-13,-14,-10,-12,-16,-10,-11,-18,-11,-13,-16,-10,-14
222,-12,-9,-9,-13,-11,-8,-6,-10,-13,-7,-8,-11,-11,-6,-8,-17,-9,-12,-15,-7,-9
223,-8,-6,-4,-11,-14,-5,0,-6,-9,-4,-8,-11,-7,1,-3,-10,-5,-6,-11,-7,-6
224,-3,-3,1,-6,-17,1,3,-2,-4,1,-1,-8,-3,2,-1,-9,1,0,-6,-1,-3
225,-1,5,2,-3,-18,2,4,2,-2,5,5,-10,0,7,6,-6,5,5,-6,2,5
226,6,5,7,0,-12,8,6,4,3,6,5,-9,5,9,9,1,6,8,-1,4,6
227,7,9,7,5,-11,10,9,7,5,7,8,-6,7,10,7,4,7,9,2,6,6
228,8,12,8,6,-13,9,7,10,7,9,8,-6,7,14,11,9,9,12,6,6,7
229,10,12,7,8,-5,11,8,10,7,10,7,-4,12,9,11,9,11,11,6,11,7
230,8,10,9,9,-3,9,9,11,8,10,7,-6,14,14,9,10,11,10,8,8,8
231,11,10,10,9,-2,7,6,9,12,7,9,-8,11,11,10,10,7,11,11,11,5
232,6,7,5,8,0,7,5,8,7,7,10,-1,9,9,8,11,9,3,8,9,8
233,6,10,4,4,-3,4,5,6,5,6,5,3,7,6,8,12,8,4,7,6,7
234,6,5,5,7,0,5,-1,7,7,5,5,6,5,7,2,8,7,2,9,8,5
235,1,4,2,4,0,1,-2,3,4,6,6,8,5,8,5,6,7,2,8,5,5
236,5,1,6,8,2,1,-2,3,4,3,2,8,4,4,3,8,6,1,7,9,5
237,2,-2,3,10,6,-2,-1,4,-1,3,2,14,4,1,3,5,8,-2,3,9,3
238,1,0,0,7,5,-1,-1,-2,0,0,0,16,4,2,2,6,3,-1,7,5,2
239,-2,-2,-1,7,10,-2,-4,-3,0,1,1,19,3,-2,-3,3,2,-4,6,3,1
240,-3,-3,-1,2,13,-3,-2,-3,-3,-2,-3,19,-2,-3,-1,3,1,-6,3,-1,2
241,-3,-6,-1,1,16,-2,-5,-6,-2,-4,-3,18,-1,-7,-2,0,-1,-1,3,-2,-3
242,-6,-6,-5,-4,16,-5,-1,-7,-6,-3,-3,16,-2,-3,-4,-2,-1,-3,1,-4,-1
243,-2,-5,-1,-6,14,-4,-2,-3,-4,-1,-6,13,-8,-2,-2,-2,-5,0,-2,-5,0
244,-1,-3,2,-4,14,-3,-1,2,-3,3,-2,13,-2,-1,0,-4,0,-2,-3,-1,2
245,2,0,0,-5,10,-1,4,4,0,5,-3,8,-3,2,0,0,0,2,-3,-3,4
246,3,2,6,-3,11,4,8,3,1,9,0,4,2,6,1,0,0,5,0,3,3
247,7,4,8,1,10,6,16,12,-2,14,6,1,2,10,7,2,6,7,0,5,10
248,14,9,15,5,4,11,14,12,3,13,7,-3,9,9,8,7,6,12,3,8,10
249,11,11,16,7,3,14,15,16,9,14,12,-2,11,12,9,9,10,16,6,12,12
250,13,16,15,7,-1,13,18,16,10,15,12,-9,12,16,12,12,11,19,8,13,15
251,16,15,18,9,-1,17,16,16,11,13,15,-11,12,13,15,15,11,19,12,15,12
252,14,14,14,11,-3,15,12,16,12,12,16,-8,14,14,13,13,13,15,12,14,15
253,10,11,11,10,-2,13,10,11,15,8,11,-10,9,10,13,14,10,15,14,14,11
254,8,8,7,10,-3,12,8,10,12,9,10,-8,8,7,9,9,9,7,12,9,11
255,9,8,5,6,-9,7,7,9,8,5,8,-7,7,9,12,9,7,8,8,7,9
256,5,6,5,9,-7,8,2,4,8,1,8,-5,7,3,7,8,5,6,10,8,4
257,-2,3,-1,7,-8,2,1,1,8,-4,4,-5,2,-1,2,6,1,-1,6,2,1
258,-3,-2,-3,3,-7,-2,-3,-3,4,-6,-2,0,-2,-5,0,2,-3,-4,6,-1,-7
259,-6,-5,-5,2,-3,-1,-3,-2,-3,-4,-1,5,0,-1,-1,-3,-2,-5,2,-4,-5
