,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
43,6,-15,-14,2,15,-10,-10,-10,12,9,-2,1,-5,2,3,-11,2,3,5,-10,14,-1,-14,10,4,0,4,-5,-10,0,0,8,1,2,-2,4,1,6,4,13,0,3,1,0,0,13,3,4,4,1,1,7,13,4,0,-3,-11,4,7,4,7,5,1,15,3,-10,-2,-4,0,-8,6,-2,12,-8,2,6,8,12,3,2,-13,7,-10,5,4,1,5,-7,-10,6
44,10,-13,-12,4,15,-9,-10,-12,12,11,1,5,-2,7,4,-12,5,5,7,-10,14,1,-14,9,4,1,5,-2,-8,4,4,10,4,6,0,7,3,8,6,15,2,7,4,2,3,14,8,7,6,2,5,11,16,5,5,-2,-12,6,9,4,11,9,4,17,6,-9,-1,-2,6,-6,7,0,15,-4,6,10,11,13,8,5,-13,7,-11,8,6,3,8,-3,-10,9
45,11,-12,-8,7,14,-6,-5,-9,14,14,3,5,0,9,4,-10,7,8,7,-7,13,3,-14,13,8,3,8,2,-7,5,6,12,7,8,3,10,4,8,9,16,5,7,7,6,7,15,10,8,10,7,8,11,18,8,9,1,-12,7,11,6,10,11,6,15,7,-7,3,2,7,-6,10,6,14,-2,10,11,13,16,10,6,-14,10,-10,10,10,8,8,0,-8,11
46,12,-11,-11,8,15,-3,-4,-7,16,14,6,6,1,12,7,-7,8,11,9,-9,15,7,-12,16,11,6,10,5,-5,7,7,13,9,12,7,11,7,11,8,17,6,10,8,9,6,15,11,10,13,8,10,13,17,9,12,3,-10,9,15,10,12,13,9,15,10,-2,6,5,7,-6,13,10,14,1,11,12,14,18,12,10,-10,13,-7,11,11,9,13,0,-3,14
47,12,-8,-11,10,14,-1,-4,-4,16,15,8,9,3,13,10,-7,9,9,14,-6,16,8,-8,14,12,8,13,4,-1,9,8,13,10,14,9,12,10,15,10,16,7,10,10,10,6,14,14,8,15,9,13,13,16,11,13,7,-8,10,16,9,15,15,11,15,13,-3,5,6,8,-3,12,10,16,0,12,14,15,17,13,10,-7,14,-5,14,12,8,13,2,-6,14
48,14,-6,-5,12,14,0,-2,-3,15,18,9,11,8,16,11,-5,12,14,14,-2,16,11,-7,14,14,7,14,6,2,10,11,15,13,15,10,12,11,17,13,17,8,11,12,12,10,14,13,13,16,7,15,15,16,10,13,5,-9,10,17,10,15,16,11,13,13,3,6,11,12,1,11,11,14,2,15,14,14,15,14,10,-7,13,-3,14,15,12,14,6,-3,14
49,14,-3,-4,10,12,5,3,-1,15,14,12,12,10,15,11,-3,14,16,13,0,15,16,-8,15,16,6,16,8,4,10,10,13,13,15,12,16,13,15,12,14,11,13,14,15,13,13,15,13,18,12,14,15,16,10,15,10,-6,11,16,9,16,15,12,14,14,5,9,12,12,5,10,13,14,5,14,13,16,15,12,11,-4,14,-1,15,16,13,17,8,0,17
50,15,0,-4,13,14,12,5,4,15,15,13,14,13,17,14,0,15,18,13,5,15,13,-2,14,15,10,16,7,8,12,11,16,15,17,13,17,13,16,12,14,12,16,14,16,15,13,13,14,14,11,15,15,15,11,17,14,-4,12,16,12,16,15,14,13,12,9,9,11,15,5,14,13,12,8,14,12,16,15,15,11,-5,12,3,14,15,14,16,10,2,14
51,12,3,0,12,15,13,8,10,14,13,12,13,14,17,14,3,17,19,11,8,13,13,1,14,15,10,17,9,10,14,15,14,16,15,13,15,13,17,12,14,10,16,12,13,11,15,14,15,15,11,18,14,14,15,13,14,0,14,17,11,16,16,14,13,13,8,8,14,14,9,12,16,12,8,15,13,12,13,17,12,-2,12,8,14,16,15,17,12,3,14
52,14,4,5,12,16,14,9,14,15,12,12,14,14,15,15,8,15,15,11,12,11,14,4,14,15,11,17,13,12,13,16,12,16,13,13,14,15,16,14,13,10,15,12,16,16,15,13,15,17,13,16,13,13,13,15,13,2,11,16,11,13,15,12,13,14,14,13,15,14,15,12,14,14,13,14,13,13,14,17,13,1,10,8,17,14,15,15,17,7,16
