,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
213,9,14,14,14,13,10,10,18,17,10,15,9,12,13,13,10,10,8
214,6,14,18,13,11,9,9,19,17,8,13,7,14,12,12,7,11,6
215,6,12,18,14,8,6,8,20,15,5,11,6,12,11,10,4,8,2
216,5,8,18,15,7,8,6,22,15,5,11,6,11,8,10,6,9,5
217,2,8,17,14,7,5,4,21,12,1,9,3,10,7,9,4,8,4
218,2,8,20,9,8,5,2,23,9,3,6,3,10,7,8,3,6,3
219,3,1,19,8,5,4,3,22,5,3,3,3,7,4,6,3,8,4
220,3,1,23,7,4,5,4,21,3,2,1,2,2,3,6,5,8,3
221,5,-2,21,4,5,5,3,22,3,3,1,4,-1,3,7,4,6,0
222,7,-4,17,2,6,2,4,20,-2,3,0,2,-2,0,5,1,3,1
223,7,-7,19,0,4,-1,1,20,-4,4,-2,2,-5,0,4,1,2,-1
224,4,-9,16,0,1,-3,0,17,-6,3,-4,1,-9,-3,3,-1,-1,-2
225,2,-7,14,-4,1,-4,-2,14,-9,2,-4,-2,-7,-2,-1,-3,-1,-2
226,3,-5,14,-6,-3,-6,-2,10,-9,0,-5,-3,-7,-4,-3,-2,-1,-6
227,1,-6,10,-6,-5,-7,-5,6,-8,-3,-6,-6,-7,-3,-4,-3,-1,-8
228,1,-3,7,-6,-8,-8,-5,2,-8,-5,-5,-9,-8,-3,-7,-7,-4,-8
229,-2,-3,7,-8,-7,-12,-8,0,-5,-7,-6,-10,-7,-4,-8,-7,-5,-9
230,-3,-3,6,-6,-10,-11,-11,-2,-2,-7,-3,-12,-6,-1,-8,-11,-8,-12
231,-5,-2,-1,-5,-10,-15,-11,-6,-2,-7,-3,-12,-3,-1,-12,-11,-13,-14
232,-8,-3,0,-1,-11,-13,-12,-7,-3,-8,-2,-11,-2,0,-14,-12,-13,-16
233,-9,-6,-2,-2,-10,-13,-13,-11,-3,-11,-1,-10,1,-1,-14,-14,-17,-12
234,-9,-5,-2,-1,-13,-11,-9,-15,-3,-13,-3,-10,0,-4,-16,-12,-14,-14
235,-12,-4,-6,-2,-12,-12,-10,-16,-5,-13,-5,-8,-1,-7,-15,-11,-16,-9
236,-9,-5,-7,-3,-12,-10,-11,-16,-4,-11,-7,-11,-2,-6,-10,-10,-14,-9
237,-10,-8,-9,-2,-11,-12,-10,-16,-6,-7,-9,-11,-3,-5,-11,-9,-13,-11
238,-8,-9,-12,-4,-10,-13,-9,-18,-7,-11,-7,-12,-3,-6,-10,-8,-11,-10
239,-9,-7,-15,-5,-9,-14,-11,-22,-8,-11,-7,-13,-3,-8,-9,-10,-12,-12
240,-12,-8,-19,-7,-10,-14,-11,-19,-8,-11,-8,-13,-4,-8,-11,-11,-12,-10
241,-10,-6,-19,-8,-11,-14,-12,-18,-9,-12,-11,-13,-5,-7,-10,-10,-12,-10
242,-11,-7,-22,-8,-12,-11,-11,-21,-10,-13,-9,-13,-6,-9,-11,-10,-13,-10
243,-14,-10,-23,-9,-14,-12,-11,-22,-12,-12,-10,-12,-8,-10,-13,-10,-13,-9
244,-11,-10,-24,-10,-14,-9,-10,-17,-12,-13,-10,-13,-10,-10,-10,-10,-11,-6
245,-12,-10,-20,-10,-14,-6,-8,-15,-11,-13,-9,-12,-10,-11,-12,-12,-11,-6
246,-12,-9,-19,-8,-13,-5,-7,-13,-10,-12,-9,-6,-9,-12,-12,-10,-11,-6
247,-10,-9,-17,-8,-13,-3,-8,-9,-8,-8,-6,-7,-10,-9,-10,-7,-8,-4
248,-6,-9,-15,-5,-10,-2,-7,-9,-7,-9,-7,-6,-9,-10,-10,-8,-5,-4
249,-6,-10,-15,-6,-7,0,-6,-7,-11,-4,-9,-4,-9,-9,-6,-5,-5,-2
250,-6,-10,-17,-6,-6,2,-4,-5,-12,-4,-10,-3,-10,-11,-5,-3,-2,-2
251,-5,-9,-14,-7,-6,7,0,-2,-11,-2,-8,1,-9,-10,-4,-2,1,0
252,-1,-9,-11,-6,-1,7,3,-3,-10,1,-8,5,-12,-10,1,4,2,4
253,2,-5,-5,-7,1,9,5,-3,-11,3,-7,8,-11,-11,6,6,6,6
254,3,-1,-5,-10,5,12,7,-2,-9,3,-3,11,-8,-12,9,6,9,6
255,9,1,-3,-8,5,14,11,1,-5,6,-3,12,-8,-8,11,11,12,9
256,10,2,-1,-6,8,15,11,3,-3,10,-1,12,-6,-3,13,10,13,10
257,11,5,1,-3,12,13,12,2,3,12,0,12,-4,0,14,10,15,11
