,0,1,2
633,-15,-2,-13
634,-23,-13,-25
635,-31,-24,-34
636,-35,-30,-37
637,-45,-34,-44
638,-49,-45,-50
639,-47,-49,-47
640,-43,-48,-45
641,-41,-44,-42
642,-35,-43,-37
643,-27,-35,-30
644,-16,-29,-18
645,-4,-16,-7
646,6,-7,2
647,13,5,11
648,25,15,25
649,35,23,30
650,40,35,39
651,42,37,43
652,43,39,43
653,45,39,42
654,43,41,41
655,35,39,35
656,28,32,26
657,18,26,18
658,11,17,13
659,0,8,1
660,-10,-1,-7
661,-17,-10,-14
662,-22,-17,-20
663,-29,-23,-26
664,-33,-29,-31
665,-32,-33,-32
666,-34,-36,-34
667,-29,-33,-34
668,-28,-31,-28
669,-21,-26,-27
670,-16,-23,-24
671,-9,-17,-16
672,-6,-7,-7
673,0,-2,-2
674,6,5,6
675,12,12,12
676,17,16,15
677,19,20,22
678,22,23,25
679,21,24,23
680,19,22,20
681,18,18,18
682,13,16,15
683,8,11,10
684,3,3,4
685,-1,-1,1
686,-6,-3,-3
687,-8,-7,-6
688,-11,-12,-10
689,-12,-12,-11
690,-14,-8,-12
691,-17,-8,-11
692,-15,-8,-12
693,-13,-9,-10
694,-9,-7,-6
695,-4,-3,-3
696,-2,-2,0
697,-1,1,3
698,4,3,6
699,11,6,7
700,14,11,11
701,13,12,12
702,13,10,13
703,14,13,17
704,14,13,16
705,12,9,11
706,10,8,9
707,7,8,6
708,5,4,4
709,2,4,1
710,-1,-1,-5
711,-4,-4,-7
712,-6,-6,-7
713,-10,-12,-11
714,-13,-12,-13
715,-13,-12,-12
716,-14,-16,-12
717,-13,-17,-13
718,-10,-18,-12
719,-10,-13,-11
720,-8,-13,-8
721,-7,-9,-7
722,-5,-8,-4
723,-3,-6,-2
724,0,-2,0
725,1,2,1
726,2,3,4
727,6,5,5
728,7,7,7
729,8,10,7
730,9,9,8
731,11,11,9
732,15,10,11
733,13,15,10
734,13,13,12
735,11,13,10
736,11,12,10
737,7,9,7
738,3,6,4
739,2,3,-1
740,2,0,-3
741,0,-1,-3
742,-4,-2,-6
743,-4,-4,-8
744,-7,-10,-11
745,-8,-11,-10
746,-10,-10,-13
747,-11,-12,-11
748,-11,-13,-11
749,-9,-12,-12
750,-10,-11,-9
751,-9,-10,-9
752,-10,-11,-4
753,-6,-9,-3
754,-4,-5,-3
755,-4,-5,-4
756,-2,-5,-4
757,3,-4,-2
758,5,0,1
759,9,6,3
760,8,7,5
761,11,10,7
762,12,12,7
763,11,10,6
764,12,12,8
765,10,15,9
766,9,16,10
767,8,13,8
768,8,13,7
769,8,12,7
770,4,12,6
771,3,10,2
772,2,3,0
773,0,-1,-2
774,-2,1,-3
775,-7,-5,-8
776,-9,-7,-10
777,-10,-12,-11
778,-12,-13,-14
779,-12,-14,-13
780,-15,-14,-15
781,-14,-16,-15
782,-12,-14,-13
783,-9,-10,-12
784,-9,-8,-10
785,-8,-7,-8
786,-3,-4,-5
787,-2,-2,-1
788,2,0,3
789,5,2,6
790,5,4,9
791,7,6,13
792,10,8,12
793,8,9,12
794,10,9,11
795,9,8,11
796,7,9,9
797,7,9,6
798,4,6,5
799,3,4,3
800,0,4,2
801,-1,3,0
802,-1,1,-2
803,1,0,-3
804,-1,1,-5
805,-3,0,-4
806,-1,0,-5
807,-1,-1,-3
808,-2,-2,-2
809,-1,-7,-2
810,1,-5,-2
811,2,-3,0
812,1,-3,1
813,2,-4,0
814,1,-3,1
815,2,-5,1
816,0,-5,-2
817,-1,-2,-3
818,-2,-3,-3
819,-3,-3,-5
820,-2,-6,-6
821,-4,-6,-6
822,-5,-7,-5
823,-4,-5,-3
824,-2,-6,-3
825,0,1,-1
826,2,1,1
827,1,4,2
828,4,6,3
829,6,5,4
830,8,9,8
831,11,10,12
832,14,13,13
833,15,12,14
834,16,15,13
835,16,17,15
836,14,15,13
837,10,12,14
838,12,9,12
839,6,5,8
840,3,3,5
841,-4,-2,-1
842,-8,-8,-7
843,-15,-11,-13
844,-18,-15,-17
845,-20,-21,-22
846,-23,-22,-25
847,-22,-22,-24
848,-24,-23,-24
849,-22,-23,-25
850,-17,-22,-22
851,-12,-18,-14
852,-5,-13,-13
853,-1,-8,-7
854,3,-4,0
855,9,2,7
856,15,8,14
857,19,15,16
858,22,18,21
859,24,22,24
860,25,27,25
861,26,30,25
862,25,30,24
863,21,28,20
864,16,25,15
865,14,20,11
866,5,14,2
867,2,8,-2
868,-3,0,-5
869,-10,-5,-11
870,-17,-11,-17
871,-21,-18,-22
872,-24,-20,-24
873,-25,-24,-25
874,-22,-25,-28
875,-22,-26,-26
876,-20,-24,-23
877,-17,-22,-20
878,-11,-16,-15
879,-8,-14,-13
880,-4,-12,-7
881,2,-6,1
882,5,1,4
883,9,3,10
884,12,7,14
885,14,11,16
886,16,13,16
887,14,13,17
888,16,16,20
889,16,17,17
890,15,16,19
891,13,17,14
892,11,13,10
893,9,11,7
894,6,6,2
895,0,4,-1
896,-3,-1,-7
897,-9,-5,-8
898,-12,-8,-11
899,-15,-13,-15
900,-17,-15,-17
901,-16,-16,-18
902,-15,-17,-18
903,-14,-15,-17
904,-13,-15,-16
905,-11,-13,-11
906,-6,-12,-8
907,-7,-12,-8
908,-4,-10,-8
909,-3,-8,-2
910,0,-10,1
911,2,-5,4
912,4,1,6
913,6,1,5
914,9,5,8
915,13,8,13
916,10,9,13
917,13,9,11
918,12,10,10
919,9,13,12
920,10,11,9
921,10,11,8
922,8,11,8
923,7,7,8
924,5,8,5
925,3,9,3
926,3,7,4
927,2,5,5
928,2,3,1
929,0,2,-1
930,-3,1,-1
931,-4,-4,-6
932,-8,-6,-7
933,-9,-7,-9
934,-12,-10,-13
935,-14,-11,-18
936,-12,-14,-17
937,-12,-14,-17
938,-11,-13,-17
939,-9,-13,-13
940,-8,-10,-9
941,-4,-7,-7
942,-2,-6,-3
943,4,-1,2
944,8,4,9
945,14,8,13
946,19,12,18
947,22,15,19
948,23,18,21
949,24,19,23
950,22,25,22
951,20,24,22
952,18,21,22
953,14,19,15
954,8,15,10
955,3,10,5
956,-4,3,-1
957,-11,1,-7
958,-16,-5,-13
959,-20,-11,-20
