,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
148,3,7,4,-1,15,6,0,7,3,9,9,0,5,11,1
149,-2,1,-2,-9,6,1,-8,-3,-4,1,0,-6,-2,3,-5
150,-11,-7,-10,-16,0,-8,-17,-9,-8,-4,-6,-15,-9,-4,-13
151,-19,-13,-21,-24,-6,-14,-24,-17,-17,-14,-13,-22,-17,-12,-22
152,-24,-20,-27,-29,-12,-22,-30,-25,-23,-23,-20,-28,-25,-21,-30
153,-31,-28,-29,-33,-22,-28,-34,-32,-29,-26,-28,-33,-31,-29,-34
154,-32,-32,-31,-36,-27,-29,-34,-36,-33,-29,-33,-34,-34,-32,-36
155,-35,-33,-37,-38,-31,-34,-36,-36,-35,-32,-35,-36,-36,-35,-36
156,-35,-35,-36,-36,-33,-37,-34,-41,-37,-36,-37,-37,-37,-39,-39
157,-33,-33,-35,-34,-35,-38,-31,-38,-36,-35,-35,-35,-35,-39,-37
158,-31,-31,-32,-30,-37,-36,-29,-38,-32,-34,-34,-30,-32,-36,-32
159,-29,-28,-30,-28,-33,-31,-25,-32,-29,-33,-29,-28,-29,-33,-28
160,-24,-26,-23,-22,-28,-30,-23,-28,-22,-29,-26,-23,-27,-29,-21
161,-19,-19,-16,-14,-27,-23,-13,-22,-14,-22,-19,-17,-20,-25,-16
162,-13,-14,-12,-8,-19,-17,-8,-15,-7,-17,-10,-11,-13,-16,-10
163,-9,-7,-6,-1,-13,-9,-5,-10,-3,-9,-6,-8,-8,-10,-4
164,-5,-3,-1,6,-7,-4,1,-3,3,-3,-2,1,-6,-8,0
165,3,4,6,12,-4,1,7,7,9,3,3,7,2,0,10
166,7,9,11,16,1,7,13,12,13,9,9,11,8,8,13
167,12,12,15,18,9,13,14,17,17,12,14,14,13,11,15
168,16,16,16,21,13,15,16,18,19,18,17,14,17,15,18
169,19,19,20,24,16,19,18,22,21,18,19,18,18,18,23
170,22,21,21,25,20,21,20,28,18,21,20,21,21,20,25
171,20,25,22,22,23,25,22,27,20,24,23,23,24,22,25
172,20,26,21,21,23,25,22,26,20,25,24,23,25,22,25
173,21,25,19,20,23,24,19,26,18,21,24,24,23,22,24
174,19,22,20,20,23,24,20,24,16,23,22,23,25,21,22
