,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
152,-22,-8,0,0,-15,-18,-1,-2,0,-2,-2,-4,-20,-9,0,0,-23,-1,-1,-22,-19
153,-19,-7,0,-1,-18,-14,-3,-6,0,0,-1,-4,-21,-8,2,1,-23,1,-1,-21,-16
154,-14,-4,-1,-1,-20,-11,-4,-5,-2,0,-2,-3,-23,-10,0,1,-24,4,2,-22,-10
155,-12,-6,-3,-1,-22,-10,-4,-7,-1,0,-2,-5,-24,-7,0,0,-22,7,0,-23,-7
156,-9,-6,-4,1,-24,-6,-5,-5,0,1,-3,-4,-22,-5,-1,-1,-21,10,0,-21,-1
157,-8,-5,-2,1,-24,-6,-5,-2,0,0,-3,-7,-20,-3,1,0,-18,11,2,-18,4
158,0,-4,-5,2,-19,-1,-3,-1,0,-1,-4,-5,-15,-2,0,-4,-13,13,2,-15,6
159,6,-1,-4,2,-17,3,-3,-2,-3,-2,-5,-7,-11,1,0,-1,-9,15,0,-8,12
160,6,2,-5,0,-12,5,-5,1,-5,-2,-4,-4,-6,4,-2,-2,-2,14,1,-5,16
161,12,2,-4,1,-9,10,-3,3,-5,-2,-4,-2,-1,5,-1,0,1,14,1,2,18
162,14,5,-4,-4,-5,13,-5,6,-5,-2,-6,-3,2,9,-3,-1,6,14,0,5,19
163,17,8,-1,-5,-1,14,-3,8,-5,-3,-5,-2,8,12,-2,2,11,14,0,10,21
164,18,11,-2,-7,6,17,-2,10,-3,-2,-4,-1,11,14,-4,1,17,14,-3,15,21
165,23,12,-3,-6,12,19,-1,14,-3,-2,-2,-1,14,15,-3,3,22,11,-1,17,21
166,20,15,0,-4,17,17,3,16,-3,-1,-1,2,17,18,-3,4,21,9,1,21,20
167,21,14,0,-2,20,17,2,14,-1,-3,1,4,20,19,1,2,23,3,0,23,16
168,16,16,3,1,23,16,4,17,1,-1,1,7,20,18,4,4,24,2,3,24,15
169,14,21,7,2,23,15,6,19,3,1,2,7,23,20,5,9,25,0,4,24,12
170,14,20,9,2,23,14,6,17,5,3,4,8,19,17,6,8,22,-4,4,20,9
