,0,1,2,3,4,5,6,7,8
227,35,35,38,34,38,35,43,48,19
228,42,43,43,43,46,41,49,52,26
229,49,49,49,52,54,51,56,57,40
230,57,57,55,58,59,55,60,57,46
231,55,57,57,62,59,61,58,52,54
232,53,57,54,59,57,58,53,48,57
233,52,54,48,56,53,52,47,42,58
234,47,49,45,50,46,46,40,31,56
235,38,44,32,43,36,42,28,22,49
236,23,29,22,33,26,32,18,8,44
237,14,19,11,22,14,23,7,-2,36
238,6,6,-2,10,4,11,-3,-10,23
239,-8,-4,-10,0,-8,2,-13,-21,13
240,-17,-14,-21,-12,-15,-9,-22,-28,1
241,-27,-26,-28,-22,-24,-20,-31,-36,-9
242,-36,-34,-36,-34,-36,-28,-38,-37,-19
243,-37,-40,-42,-38,-41,-36,-42,-41,-29
244,-41,-42,-40,-43,-43,-39,-43,-44,-36
245,-41,-46,-45,-46,-44,-44,-49,-43,-41
246,-44,-46,-41,-46,-43,-43,-46,-43,-41
247,-41,-43,-43,-46,-42,-46,-45,-39,-44
248,-37,-43,-38,-46,-38,-43,-40,-35,-45
249,-35,-36,-32,-43,-36,-38,-35,-29,-43
250,-27,-31,-30,-36,-28,-33,-28,-21,-42
251,-23,-29,-20,-28,-18,-27,-17,-16,-35
252,-15,-17,-14,-21,-16,-22,-13,-5,-30
253,-7,-9,-5,-9,-6,-11,-1,4,-21
254,1,1,5,-3,6,-3,10,11,-11
255,11,10,13,9,13,6,18,23,0
256,14,20,22,17,22,18,30,31,10
257,26,32,30,24,30,23,35,40,16
258,36,37,38,35,41,33,44,43,25
259,43,45,45,38,45,43,47,50,34
260,45,51,50,46,50,50,51,50,40
261,46,50,52,50,52,51,55,45,49
262,47,51,51,51,49,50,50,44,50
263,46,48,48,48,47,50,49,40,53
264,43,47,44,45,44,46,43,37,48
265,39,36,40,42,39,40,39,29,45
266,32,33,33,34,31,35,27,16,42
267,24,28,22,26,20,26,14,11,37
268,10,16,9,17,9,17,6,0,30
269,-1,8,3,5,0,6,-5,-9,17
270,-7,-4,-9,-4,-9,-3,-17,-20,7
271,-20,-15,-21,-13,-19,-12,-28,-35,-1
272,-32,-26,-37,-25,-32,-29,-40,-39,-11
273,-44,-39,-44,-36,-42,-37,-49,-50,-22
274,-49,-46,-48,-48,-50,-47,-56,-52,-34
275,-55,-53,-54,-51,-53,-52,-59,-57,-43
276,-59,-56,-55,-56,-59,-53,-61,-57,-49
277,-60,-59,-59,-59,-61,-59,-63,-53,-55
278,-58,-58,-55,-62,-55,-55,-55,-48,-58
279,-53,-52,-49,-57,-50,-52,-47,-35,-59
280,-42,-49,-42,-44,-39,-46,-36,-28,-55
281,-31,-36,-27,-38,-31,-39,-26,-14,-48
282,-19,-27,-21,-28,-21,-26,-17,0,-40
283,-9,-14,-5,-13,-7,-10,1,15,-30
284,8,1,9,2,7,1,14,27,-20
285,21,12,19,13,19,15,29,35,-5
286,30,28,32,26,31,28,42,48,13
287,42,38,43,41,43,35,52,54,25
288,52,50,56,51,52,46,60,60,36
289,59,60,62,58,58,55,61,65,45
290,60,63,63,66,64,62,66,62,56
291,64,67,65,68,66,61,62,59,63
292,60,67,61,67,64,60,58,50,64
293,53,62,55,60,58,57,48,40,66
294,46,53,45,52,50,47,38,29,64
295,34,39,35,44,37,38,26,13,55
296,21,30,22,27,22,25,9,1,44
297,8,13,7,17,12,11,-2,-15,31
298,-10,-2,-8,1,-3,0,-18,-29,21
299,-22,-18,-25,-19,-23,-16,-35,-42,2
300,-40,-33,-40,-33,-34,-29,-45,-55,-13
301,-51,-44,-52,-47,-46,-42,-56,-63,-28
302,-59,-58,-62,-55,-58,-53,-65,-69,-42
