,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
60,18,15,22,13,15,16,38,-13,44,23,33,30,27,29,29,37,30,34,33,37,25,11,29,13,8,9,0,12,-5,-13,-10,-1,17,6,50,11,8,6,13,9,5,17,20,20,19,42,2,19,21,3,43,12,36,12,30,36,50,14,18,66,11,-6,-7,-6,-7,27,10,8
61,13,9,18,12,12,9,34,-8,42,20,32,25,27,29,30,32,28,32,30,32,16,10,31,13,7,9,-2,12,0,-13,-9,3,17,1,51,3,7,-2,9,5,2,13,13,13,15,40,0,15,19,1,42,8,42,12,26,37,50,16,15,64,26,-6,-6,-5,-5,33,13,10
62,9,7,15,8,3,4,33,-7,39,12,33,24,22,25,28,26,25,28,29,26,11,7,36,13,8,11,-3,14,2,-9,-7,9,14,0,56,-4,3,-6,6,0,-4,5,9,7,10,38,-3,6,15,-1,41,8,46,13,20,34,48,16,16,67,41,-8,-5,-7,-5,37,13,8
63,5,4,7,3,1,0,31,-19,34,6,32,19,21,19,23,24,24,24,25,22,4,3,38,14,9,14,-3,13,8,-9,-2,12,13,-5,55,-9,-1,-12,3,-6,-5,-3,2,2,3,38,-3,-1,10,0,38,9,54,13,13,28,46,16,16,64,57,-8,-4,-8,-2,37,17,7
64,2,0,3,-2,-2,-2,26,-23,29,4,26,15,14,14,20,19,17,18,19,16,-4,0,39,15,10,15,-7,16,11,-6,-1,19,11,-11,53,-14,-3,-17,0,-11,-9,-6,-2,-3,-2,33,-1,-5,5,0,35,13,58,15,8,24,43,18,16,66,69,-8,-2,-3,2,35,23,7
65,3,-1,1,-2,-1,-3,19,-16,24,-1,22,10,8,12,17,11,10,10,16,9,-11,-2,40,12,11,15,-6,15,17,0,4,23,10,-13,55,-17,-8,-22,-2,-14,-10,-11,-5,-7,-6,26,-1,-11,2,0,30,13,65,15,5,22,40,20,15,67,83,-2,0,0,4,33,24,5
66,-1,-8,-2,-5,-11,-8,16,-18,22,-7,16,6,7,4,10,6,8,7,10,5,-15,-2,39,13,14,15,-7,16,19,-1,9,28,9,-15,55,-18,-12,-24,-5,-16,-14,-14,-8,-12,-10,22,-3,-16,-5,-3,28,9,68,18,-2,15,38,20,16,67,89,-2,2,1,8,30,26,5
67,-4,-10,-6,-8,-13,-12,12,-27,19,-11,10,2,2,0,2,0,2,1,6,0,-18,-5,38,14,10,14,-6,18,23,4,10,34,7,-14,51,-22,-13,-23,-9,-16,-14,-16,-13,-14,-15,15,-1,-19,-7,-1,21,9,70,19,-8,9,32,20,14,64,96,0,5,6,11,26,30,7
68,-6,-9,-9,-9,-14,-12,4,-25,11,-13,3,-5,-2,-7,-2,-5,-5,-6,2,-6,-23,-9,38,12,12,17,-4,19,29,8,13,39,3,-15,51,-20,-13,-20,-10,-21,-14,-19,-16,-20,-16,8,1,-24,-8,-3,17,13,71,22,-13,8,28,22,9,63,99,2,8,8,13,22,32,9
69,-11,-8,-14,-9,-11,-14,-6,-19,8,-17,-2,-9,-6,-9,-6,-10,-7,-10,-4,-13,-25,-6,37,12,13,15,-1,21,32,12,18,39,-1,-16,50,-19,-15,-19,-13,-21,-16,-19,-18,-20,-19,1,0,-26,-14,-1,13,15,73,22,-17,8,23,21,8,62,96,5,9,8,13,20,36,9
